date,open,high,low,close,volume
2024-07-05,393.19,394.0,391.65,393.7,2011070.0
2024-07-08,394.41,396.732,392.78,393.46,3374525.0
2024-07-09,393.22,395.04,391.47,392.94,3826722.0
2024-07-10,392.94,397.46,392.6303,397.26,4234313.0
2024-07-11,397.5,398.89,396.31,397.63,4027421.0
2024-07-12,398.86,402.69,398.12,400.32,4711778.0
2024-07-15,402.47,403.58,401.4,402.36,4433484.0
2024-07-16,403.86,409.985,403.85,409.66,6547601.0
2024-07-17,408.56,412.34,408.56,411.93,4490623.0
2024-07-18,410.68,413.86,406.05,406.72,4922194.0
2024-07-19,405.37,406.06,401.95,402.95,4284514.0
2024-07-22,404.04,404.73,402.22,404.15,2313989.0
2024-07-23,404.29,405.29,403.22,403.49,1693478.0
2024-07-24,401.73,402.63,398.08,398.67,3701277.0
2024-07-25,398.63,404.39,398.3713,399.49,4179842.0
2024-07-26,401.81,407.617,401.71,405.97,2810634.0
2024-07-29,406.86,407.0,403.96,405.51,2039018.0
2024-07-30,405.87,408.72,405.28,407.41,2576403.0
2024-07-31,407.46,412.01,406.49,408.49,5634760.0
2024-08-01,409.7,410.93,400.96,403.23,5497860.0
2024-08-02,399.93,400.38,393.56,397.13,4844932.0
2024-08-05,386.515,390.3,384.9309,386.81,8680170.0
2024-08-06,387.56,394.52,386.26,389.96,4058038.0
2024-08-07,392.63,394.79,387.2796,387.77,3969365.0
2024-08-08,389.51,395.14,389.24,394.52,2993543.0
2024-08-09,394.18,396.49,392.415,395.15,3380211.0
2024-08-12,395.95,396.04,392.61,393.77,1902029.0
2024-08-13,395.07,398.13,394.07,397.79,3510789.0
2024-08-14,397.74,400.88,397.51,400.09,5230413.0
2024-08-15,404.74,406.14,403.18,405.88,3764149.0
2024-08-16,405.03,407.37,404.6,406.74,2789195.0
2024-08-19,407.36,409.32,407.26,409.11,2012428.0
2024-08-20,408.62,409.35,407.78,408.56,1999606.0
2024-08-21,409.32,409.991,407.5901,408.99,1439005.0
2024-08-22,409.7,410.5,406.02,407.48,2353499.0
2024-08-23,409.29,412.32,408.56,411.83,3818288.0
2024-08-26,412.64,414.515,411.6528,412.72,3144951.0
2024-08-27,412.29,413.07,411.36,412.89,1710225.0
