date,open,high,low,close,volume
2024-07-05,104.39,104.39,102.01,103.6,324870.0
2024-07-08,104.27,106.12,102.66,103.21,401474.0
2024-07-09,103.65,107.33,102.95,105.14,686822.0
2024-07-10,104.04,106.51,103.59,106.47,502864.0
2024-07-11,106.53,109.44,105.8001,109.22,740995.0
2024-07-12,108.66,111.29,107.67,109.9,849724.0
2024-07-15,111.01,115.04,110.93,114.42,1218565.0
2024-07-16,115.22,118.7067,114.41,118.61,1337899.0
2024-07-17,117.91,121.87,117.7,121.47,1155595.0
2024-07-18,119.85,123.6599,115.95,116.81,1597763.0
2024-07-19,116.5,117.165,112.83,113.45,833953.0
2024-07-22,114.0,115.62,112.39,115.36,887831.0
2024-07-23,115.77,117.39,115.11,115.66,659916.0
2024-07-24,114.0,115.2,111.0175,111.31,862283.0
2024-07-25,111.63,116.99,111.35,112.33,1073737.0
2024-07-26,113.9,118.25,113.61,117.37,999305.0
2024-07-29,118.03,118.2,114.94,116.54,798311.0
2024-07-30,118.7,121.9,118.6901,120.51,951430.0
2024-07-31,122.2,122.7,119.512,119.81,789153.0
2024-08-01,120.88,121.61,113.08,114.74,1338396.0
2024-08-02,110.38,111.8,103.99,106.18,2000735.0
2024-08-05,99.11,99.69,95.43,97.35,1319157.0
2024-08-06,98.26,104.85,97.27,101.27,896484.0
2024-08-07,105.0,107.65,101.33,101.64,776462.0
2024-08-08,103.61,106.9799,103.2,106.45,547354.0
2024-08-09,106.51,108.6795,105.21,107.81,479303.0
2024-08-12,108.77,109.24,105.53,106.24,465231.0
2024-08-13,107.98,108.92,105.69,108.72,419453.0
2024-08-14,109.5,113.31,109.31,112.8,583663.0
2024-08-15,116.49,117.7,114.76,116.13,470928.0
2024-08-16,115.39,118.21,115.39,118.15,400149.0
2024-08-19,118.51,120.225,118.4,120.11,426488.0
2024-08-20,119.89,120.05,118.25,118.85,374651.0
2024-08-21,119.75,119.95,116.51,118.41,431493.0
2024-08-22,118.64,120.24,118.41,120.22,368116.0
2024-08-23,121.27,124.1799,120.531,123.19,753082.0
2024-08-26,124.65,126.49,123.64,124.5,533037.0
2024-08-27,124.81,126.49,124.6,126.21,392081.0
2024-08-28,125.38,129.3021,124.96,127.33,927602.0
2024-08-29,128.77,131.8799,125.93,130.51,819800.0
2024-08-30,131.67,134.5,129.77,134.06,636990.0
2024-09-03,132.31,135.3,129.31,131.19,1151265.0
2024-09-04,131.62,134.38,129.6,131.28,601206.0
2024-09-05,132.83,133.33,125.43,127.25,651339.0
