date,open,high,low,close,volume
2024-07-05,52.55,53.555,52.4862,53.46,5120366.0
2024-07-08,53.535,53.825,53.33,53.725,4021900.0
2024-07-09,54.025,54.27,53.465,53.78,3931810.0
2024-07-10,54.2,55.02,53.915,54.915,4492404.0
2024-07-11,54.915,54.955,52.22,52.47,11170292.0
2024-07-12,52.585,54.0901,52.49,53.065,6546092.0
2024-07-15,53.45,54.39,52.9,53.36,5799378.0
2024-07-16,53.65,53.825,52.69,53.39,4686030.0
2024-07-17,51.635,51.735,50.2225,50.245,8610682.0
2024-07-18,50.995,51.04,49.08,49.75,6968938.0
2024-07-19,49.67,50.165,48.575,48.845,7341392.0
2024-07-22,50.045,50.49,49.345,50.275,5350900.0
2024-07-23,50.085,50.7099,49.825,49.93,3005938.0
2024-07-24,48.505,48.56,46.15,46.32,8864762.0
2024-07-25,46.395,47.23,44.775,45.305,10057486.0
2024-07-26,46.14,46.78,45.575,46.22,5543178.0
2024-07-29,46.74,47.17,45.9257,46.36,4943136.0
2024-07-30,46.76,46.895,44.425,45.08,7852118.0
2024-07-31,47.13,48.09,46.85,47.755,8010546.0
2024-08-01,47.88,48.635,44.68,45.445,10456256.0
2024-08-02,43.69,44.19,42.42,43.25,23179674.0
2024-08-05,38.595,42.0,38.3813,40.745,13239556.0
2024-08-06,41.03,42.83,40.5005,41.45,9835412.0
2024-08-07,42.745,43.205,40.45,40.53,10463492.0
2024-08-08,41.69,43.16,40.96,43.02,9644834.0
2024-08-09,42.72,43.74,42.51,43.455,5869342.0
2024-08-12,43.595,44.18,43.055,43.615,5364116.0
2024-08-13,44.45,45.8,44.425,45.765,5930218.0
2024-08-14,45.935,46.25,44.935,45.8,5412814.0
2024-08-15,46.975,48.16,46.895,48.09,5240924.0
2024-08-16,47.69,48.4551,47.496,48.175,5839492.0
2024-08-19,48.205,49.45,47.825,49.44,5368914.0
2024-08-20,49.245,49.7725,48.87,49.22,10537484.0
2024-08-21,49.38,50.05,49.0206,49.695,4822582.0
2024-08-22,50.145,50.285,47.885,48.08,6161368.0
2024-08-23,48.955,49.67,48.15,49.115,6503290.0
2024-08-26,48.92,49.1675,47.7201,48.145,4811060.0
2024-08-27,47.81,48.635,47.41,48.43,5530458.0
2024-08-28,48.315,48.46,46.606,47.31,14859200.0
2024-08-29,47.69,48.625,46.925,47.165,8166372.0
2024-08-30,48.005,48.365,47.1,48.275,3913774.0
2024-09-03,47.61,47.64,44.84,45.31,8750114.0
2024-09-04,44.685,45.805,44.4902,45.07,6797568.0
2024-09-05,44.725,45.985,44.54,45.16,6771660.0
2024-09-06,44.975,45.145,42.601,42.72,7840974.0
2024-09-09,43.52,43.97,42.905,43.79,4455376.0
2024-09-10,44.13,44.68,43.345,44.585,4513430.0
2024-09-11,44.815,46.655,43.15,46.485,21973508.0
2024-09-12,46.505,47.585,46.155,47.435,6335672.0
2024-09-13,47.25,48.05,47.2,47.815,5788348.0
2024-09-16,47.38,47.505,46.73,47.38,4989338.0
2024-09-17,47.99,48.235,46.935,47.43,5042336.0
2024-09-18,47.66,48.48,46.89,46.985,9610760.0
2024-09-19,49.24,49.955,48.815,49.385,7565524.0
2024-09-20,49.185,49.42,48.325,49.16,4389022.0
2024-09-23,49.405,49.645,49.13,49.42,3702238.0
2024-09-24,49.7,50.0801,48.83,49.89,6006632.0
2024-09-25,49.73,50.35,49.69,49.985,3107748.0
2024-09-26,51.495,51.56,49.94,50.695,5234730.0
2024-09-27,50.895,50.9,49.86,50.1,4736496.0
2024-09-30,49.885,50.43,49.3,50.35,6061676.0
2024-10-01,50.275,50.3358,48.155,48.925,7385930.0
2024-10-02,48.75,49.475,48.225,49.09,3421452.0
2024-10-03,48.625,49.605,48.475,49.01,5250076.0
2024-10-04,50.175,50.25,49.14,50.175,6681682.0
2024-10-07,49.78,49.96,48.81,49.045,4444250.0
2024-10-08,49.57,50.655,49.425,50.51,3400046.0
2024-10-09,50.445,51.415,50.235,51.295,4126472.0
2024-10-10,50.81,51.555,50.54,51.185,4275130.0
2024-10-11,50.76,51.512,50.64,51.29,4889474.0
2024-10-14,51.81,52.44,51.695,52.15,9945872.0
2024-10-15,52.22,52.355,50.3,50.75,10941854.0
2024-10-16,50.805,50.92,50.08,50.765,9462558.0
2024-10-17,51.895,51.905,50.82,50.845,3931750.0
2024-10-18,51.38,51.695,51.225,51.465,2761812.0
2024-10-21,51.205,51.82,50.79,51.66,4592704.0
2024-10-22,51.085,52.065,50.92,51.76,3890508.0
2024-10-23,51.25,51.38,49.47,50.16,4582672.0
2024-10-24,50.91,51.1,50.38,50.965,3311604.0
2024-10-25,51.53,52.5811,51.38,51.55,6928960.0
2024-10-28,52.215,52.215,51.51,51.57,3535522.0
2024-10-29,51.62,52.795,51.24,52.545,4628990.0
2024-10-30,52.37,52.575,51.655,51.75,4261192.0
2024-10-31,50.905,50.905,49.12,49.14,8799164.0
2024-11-01,49.42,50.505,49.375,49.825,5359172.0
2024-11-04,49.7,50.2175,49.175,49.515,4660616.0
2024-11-05,49.855,50.92,49.83,50.78,4177638.0
2024-11-06,52.51,53.7,52.3,53.54,9537186.0
2024-11-07,54.125,55.38,54.115,55.225,5141560.0
2024-11-08,55.055,55.465,54.9475,55.3,3458614.0
2024-11-11,55.545,55.6,54.61,55.23,5074754.0
2024-11-12,55.21,55.405,54.375,55.035,4291472.0
2024-11-13,54.915,55.4575,54.4001,54.88,3293562.0
2024-11-14,54.795,54.98,53.92,54.09,3938934.0
2024-11-15,52.86,52.93,51.055,51.475,7093728.0
2024-11-18,51.815,52.6475,51.53,52.21,4335902.0
2024-11-19,51.64,53.02,51.59,52.905,4783260.0
2024-11-20,52.84,52.905,51.45,52.84,5953410.0
2024-11-21,53.48,53.615,51.6748,53.225,5366920.0
2024-11-22,53.07,53.505,52.74,53.36,3869718.0
2024-11-25,54.225,54.55,53.035,53.525,4661824.0
2024-11-26,53.83,54.255,53.655,54.085,3162646.0
2024-11-27,53.835,53.835,52.5,53.225,3628156.0
2024-11-29,53.305,54.245,53.195,54.105,2598404.0
2024-12-02,54.385,55.505,54.315,55.285,5272966.0
2024-12-03,54.985,55.675,54.89,55.635,3279208.0
2024-12-04,56.36,57.035,56.215,56.99,4539280.0
2024-12-05,56.985,57.15,56.5861,56.675,2433534.0
2024-12-06,56.785,57.705,56.77,57.665,4528090.0
2024-12-09,57.42,57.605,56.49,56.74,4050328.0
2024-12-10,56.985,57.385,56.04,56.325,4187684.0
2024-12-11,57.28,58.505,57.21,58.355,3927230.0
2024-12-12,57.855,58.13,57.4925,57.59,3539734.0
2024-12-13,58.43,59.015,57.75,58.44,3578958.0
2024-12-16,59.005,60.34,58.985,60.125,4078680.0
2024-12-17,59.71,59.955,59.22,59.59,4227072.0
2024-12-18,59.42,59.805,54.95,55.29,9102908.0
2024-12-19,56.27,56.39,54.695,54.755,9644532.0
2024-12-20,53.94,57.005,53.695,55.725,9987570.0
2024-12-23,56.015,56.81,55.29,56.74,4810402.0
2024-12-24,57.145,58.27,57.01,58.27,2841762.0
2024-12-26,57.885,58.53,57.44,58.165,3237734.0
2024-12-27,57.355,57.435,55.565,56.58,6193572.0
2024-12-30,55.045,55.885,54.26,55.065,6596350.0
2024-12-31,55.335,55.495,53.92,54.12,6637576.0
2025-01-02,54.77,55.2501,52.95,53.88,8256736.0
2025-01-03,54.535,55.855,54.36,55.64,6843310.0
2025-01-06,56.79,57.625,56.37,56.905,5247988.0
2025-01-07,57.15,57.2,54.455,54.855,6579890.0
2025-01-08,54.845,55.2196,53.875,54.865,6203006.0
2025-01-10,54.05,54.05,52.425,53.115,24778480.0
2025-01-13,51.83,52.86,51.545,52.785,4882064.0
2025-01-14,53.435,53.71,51.93,52.66,5988774.0
2025-01-15,54.31,55.31,53.9875,55.04,6317990.0
2025-01-16,55.555,55.5655,54.28,54.305,4321510.0
2025-01-17,56.37,56.455,55.5,56.095,5983570.0
2025-01-21,56.685,57.0,55.73,56.7,6641496.0
2025-01-22,57.755,58.685,57.71,58.18,20804334.0
2025-01-23,57.63,58.44,57.5072,58.435,4767120.0
2025-01-24,58.48,58.65,57.415,57.745,4595972.0
2025-01-27,53.665,55.18,53.475,54.33,12186024.0
2025-01-28,54.57,56.205,53.84,55.965,5140196.0
2025-01-29,56.095,56.101,54.9,55.74,3849044.0
2025-01-30,56.36,56.85,55.175,56.205,5598336.0
2025-01-31,57.03,57.985,55.7826,56.005,5625446.0
2025-02-03,54.125,55.695,53.59,55.115,6997858.0
2025-02-04,55.195,56.58,55.13,56.46,3644328.0
2025-02-05,55.875,56.995,55.6125,56.955,3631420.0
2025-02-06,57.055,57.585,56.715,57.53,3693452.0
2025-02-07,57.645,58.055,55.906,56.075,4503324.0
2025-02-10,56.985,57.64,56.88,57.395,2720998.0
2025-02-11,56.685,57.54,56.665,57.125,2220456.0
2025-02-12,55.885,57.3775,55.825,57.19,4213492.0
2025-02-13,57.555,58.885,57.375,58.82,5266092.0
2025-02-14,58.795,59.43,58.74,59.27,6285534.0
2025-02-18,59.63,59.68,58.805,59.53,6538550.0
2025-02-19,59.355,59.835,58.9,59.56,2730456.0
2025-02-20,59.375,59.455,57.995,59.03,4167580.0
2025-02-21,59.27,59.27,56.49,56.57,5246182.0
2025-02-24,56.945,57.175,55.145,55.205,6613400.0
2025-02-25,55.075,55.09,53.0,53.805,7208596.0
2025-02-26,54.285,55.1343,53.4,54.05,5547040.0
2025-02-27,54.825,55.005,51.02,51.07,20766030.0
2025-02-28,51.005,52.76,50.36,52.645,9041652.0
2025-03-03,53.33,53.65,49.615,50.395,9457888.0
2025-03-04,49.755,51.6741,48.44,50.025,12562300.0
2025-03-05,50.14,51.64,49.15,51.335,10075364.0
2025-03-06,49.595,50.6,48.075,48.51,7609084.0
2025-03-07,48.245,49.4649,46.95,49.18,8447420.0
2025-03-10,47.5,47.595,44.5446,45.455,9306148.0
2025-03-11,45.24,46.5,44.25,45.125,9621742.0
2025-03-12,46.565,46.925,45.155,46.165,7135008.0
2025-03-13,45.99,46.0,44.09,44.475,7399218.0
2025-03-14,45.465,46.7572,45.355,46.595,6040434.0
2025-03-17,46.57,47.82,46.23,47.195,33021416.0
2025-03-18,46.535,46.535,45.15,45.6,5057700.0
2025-03-19,45.995,47.625,45.627,46.76,6574754.0
2025-03-20,45.98,47.4795,45.855,46.45,5466958.0
2025-03-21,45.445,46.875,45.23,46.78,6196014.0
2025-03-24,48.215,48.935,48.085,48.75,6242664.0
2025-03-25,48.915,49.35,48.735,49.33,4001072.0
2025-03-26,49.09,49.245,47.185,47.505,6449978.0
2025-03-27,47.09,47.915,46.685,46.94,6267340.0
2025-03-28,46.575,46.7,44.28,44.47,8245800.0
2025-03-31,43.115,44.61,42.225,44.44,31218692.0
2025-04-01,44.12,45.31,43.58,45.135,9454344.0
2025-04-02,43.88,46.45,43.8408,45.795,8060854.0
2025-04-03,41.99,42.685,40.7936,40.9,10364716.0
2025-04-04,38.59,38.98,35.875,35.905,21589746.0
2025-04-07,33.355,39.25,32.36,36.01,24840632.0
2025-04-08,38.445,39.25,33.595,34.67,23193156.0
2025-04-09,34.565,43.25,34.55,42.815,37896484.0
2025-04-10,40.68,41.03,36.815,39.315,17448340.0
2025-04-11,39.06,40.965,38.44,40.705,9625762.0
2025-04-14,42.53,42.625,40.41,41.27,11640768.0
2025-04-15,41.46,42.15,41.0302,41.365,6602962.0
2025-04-16,39.72,40.38,37.7,38.88,16537364.0
2025-04-17,39.345,39.4546,38.3524,38.82,8891670.0
2025-04-21,37.785,37.94,35.985,36.92,9018778.0
2025-04-22,37.86,39.345,37.6551,38.805,9504316.0
2025-04-23,41.235,42.105,40.28,40.53,11145192.0
2025-04-24,40.905,42.9,40.8,42.835,8749252.0
2025-04-25,42.76,43.8843,42.47,43.78,6968206.0
2025-04-28,43.86,44.1969,42.57,43.76,4880336.0
2025-04-29,43.31,44.475,43.24,44.3,4523226.0
2025-04-30,42.76,44.62,41.87,44.29,6723862.0
2025-05-01,45.765,46.515,45.28,45.375,22707792.0
2025-05-02,46.345,47.17,46.035,46.77,5396916.0
2025-05-05,45.965,46.8053,45.86,46.22,3589674.0
2025-05-06,44.995,46.0375,44.735,45.37,5648734.0
2025-05-07,45.465,46.155,44.4651,45.71,9419174.0
2025-05-08,46.67,47.46,45.865,46.62,6169124.0
2025-05-09,46.98,47.2246,46.22,46.54,4620274.0
2025-05-12,50.165,50.345,49.115,50.33,9100404.0
2025-05-13,50.59,52.21,50.4475,51.845,7795254.0
2025-05-14,52.075,52.575,51.88,52.465,6100890.0
2025-05-15,52.015,53.105,51.77,52.58,5064740.0
2025-05-16,52.85,53.055,52.13,53.03,5194142.0
2025-05-19,51.54,53.2095,51.525,53.105,6118856.0
2025-05-20,52.58,52.87,52.005,52.725,4190756.0
