date,open,high,low,close,volume
2024-07-05,256.28,256.825,253.28,254.76,1823851.0
2024-07-08,256.71,259.9,256.69,259.59,2295490.0
2024-07-09,260.75,262.08,257.13,259.47,2376280.0
2024-07-10,261.874,265.9998,260.58,265.49,3075771.0
2024-07-11,267.15,267.24,255.97,256.76,4695206.0
2024-07-12,257.84,264.42,256.56,259.89,2929608.0
2024-07-15,261.35,263.63,258.59,260.18,3202168.0
2024-07-16,261.53,262.14,257.59,261.79,2595071.0
2024-07-17,252.745,253.66,242.78,243.17,9101641.0
2024-07-18,247.41,247.52,239.65,243.9,5273993.0
2024-07-19,243.56,243.7,236.04,236.44,4983515.0
2024-07-22,241.52,246.4392,239.5,246.24,4941710.0
2024-07-23,242.89,245.08,241.84,242.57,2418663.0
2024-07-24,239.26,239.89,229.35,229.67,5738900.0
2024-07-25,227.71,232.055,220.63,224.55,8437613.0
2024-07-26,229.67,231.2073,226.9075,229.37,3805615.0
2024-07-29,231.6,234.83,228.03,228.89,2926807.0
2024-07-30,230.0,230.56,219.82,220.58,8083544.0
2024-07-31,230.72,235.6,228.97,235.38,7494101.0
2024-08-01,231.4,233.21,215.59,218.42,8576306.0
2024-08-02,209.06,211.45,204.21,206.81,13105442.0
2024-08-05,193.09,208.68,192.87,203.16,9247089.0
2024-08-06,205.06,210.48,201.74,205.0,6602315.0
2024-08-07,211.5,213.18,198.85,199.29,5292535.0
2024-08-08,205.47,213.26,201.24,213.04,6243205.0
2024-08-09,211.49,213.675,208.75,211.78,3454505.0
2024-08-12,212.1,215.55,210.3,213.0,4365247.0
2024-08-13,215.99,221.98,214.67,221.65,4525401.0
2024-08-14,223.65,224.54,217.49,221.09,3769879.0
2024-08-15,226.07,232.62,225.04,231.72,4332066.0
2024-08-16,229.59,232.22,228.03,231.23,3966086.0
2024-08-19,230.33,235.2,227.66,235.16,2197772.0
2024-08-20,233.95,235.55,230.27,232.05,2587659.0
2024-08-21,233.21,236.51,232.64,235.34,1832242.0
2024-08-22,236.7,237.5,226.62,227.3,2969554.0
2024-08-23,230.92,235.0,229.7,233.39,3452909.0
2024-08-26,232.47,233.21,226.7,227.53,2148184.0
2024-08-27,225.88,230.812,223.81,230.05,2024724.0
2024-08-28,229.09,230.7,223.62,225.9,3480004.0
2024-08-29,227.1,231.02,224.21,225.25,4084564.0
2024-08-30,230.56,231.75,227.28,231.14,3249708.0
2024-09-03,226.8,226.83,212.28,213.5,7214274.0
2024-09-04,211.11,217.49,210.52,214.2,4435768.0
2024-09-05,211.2,216.38,210.86,213.05,3988332.0
2024-09-06,211.45,211.61,202.86,203.93,5596274.0
2024-09-09,207.24,208.68,204.56,207.96,4078571.0
2024-09-10,208.34,210.38,204.96,210.15,2390615.0
2024-09-11,211.59,220.34,207.17,219.91,6521352.0
2024-09-12,218.7,220.97,215.625,218.94,4739645.0
2024-09-13,220.85,223.45,220.32,222.85,5267972.0
2024-09-16,219.67,221.0,217.04,219.88,2469826.0
2024-09-17,222.65,223.17,218.23,220.15,2304065.0
2024-09-18,221.18,224.21,217.5,217.72,4671939.0
2024-09-19,225.97,230.06,224.16,226.99,4624651.0
2024-09-20,224.71,225.57,220.44,223.67,4550812.0
2024-09-23,224.75,225.55,222.95,224.54,2454242.0
2024-09-24,226.55,228.63,223.97,227.26,4314726.0
2024-09-25,225.98,229.77,225.85,228.27,2191237.0
2024-09-26,237.72,238.38,230.29,236.43,5537381.0
2024-09-27,237.15,237.18,231.47,232.68,2303594.0
2024-09-30,229.79,232.11,227.3,230.59,2694896.0
2024-10-01,230.5,231.2,222.33,224.13,3926494.0
2024-10-02,224.57,229.65,223.26,227.15,1762086.0
2024-10-03,225.36,230.83,225.21,227.96,2110717.0
2024-10-04,232.49,232.88,228.385,231.08,2686621.0
2024-10-07,229.6,232.26,228.775,230.45,2006777.0
2024-10-08,230.45,233.54,228.94,232.72,2508524.0
2024-10-09,232.49,235.48,230.88,235.15,2019084.0
2024-10-10,231.99,234.79,230.65,233.5,1886504.0
2024-10-11,231.79,236.19,231.672,235.46,4572949.0
2024-10-14,236.96,240.29,236.8101,239.8,2142457.0
2024-10-15,239.24,240.47,225.72,227.36,6421198.0
2024-10-16,230.12,230.12,226.405,227.36,3776554.0
2024-10-17,233.3,233.87,229.15,229.15,2407756.0
2024-10-18,231.3,231.31,228.42,229.36,1643661.0
2024-10-21,228.44,229.54,225.98,228.93,2034318.0
2024-10-22,227.68,228.81,226.28,228.08,2476371.0
2024-10-23,227.65,228.51,222.87,226.04,2259997.0
2024-10-24,228.07,228.21,225.58,227.3,2247889.0
2024-10-25,229.45,233.07,229.3701,229.58,2209641.0
2024-10-28,229.5,231.305,228.37,229.72,1508521.0
2024-10-29,229.92,236.455,228.86,235.37,3135032.0
2024-10-30,229.29,230.74,226.98,227.07,4324391.0
2024-10-31,224.9,224.99,216.56,218.26,6120820.0
