date,open,high,low,close,volume
2024-07-05,42.415,42.92,42.3201,42.87,3015904.0
2024-07-08,42.97,43.1,42.78,42.945,3396944.0
2024-07-09,43.08,43.225,42.9775,43.02,3079874.0
2024-07-10,43.21,43.92,43.1625,43.865,3320202.0
2024-07-11,43.88,44.0101,42.9975,43.085,5847700.0
2024-07-12,43.26,44.195,43.2025,43.61,4651512.0
2024-07-15,43.935,44.365,43.56,43.845,6924056.0
2024-07-16,44.06,44.41,43.935,44.37,4272224.0
2024-07-17,43.41,43.665,43.06,43.105,5298282.0
2024-07-18,43.35,43.5,42.1,42.435,6713082.0
2024-07-19,42.375,42.635,41.69,41.855,5995908.0
2024-07-22,42.46,42.8025,42.16,42.715,5703460.0
2024-07-23,42.685,43.0201,42.49,42.565,4657172.0
2024-07-24,41.8,41.845,40.485,40.615,9923426.0
2024-07-25,40.635,41.5575,40.055,40.18,9078750.0
2024-07-26,40.755,41.485,40.64,41.05,18313652.0
2024-07-29,41.305,41.4555,40.81,41.125,3129628.0
2024-07-30,41.335,41.49,40.16,40.685,5617162.0
2024-07-31,41.72,42.4088,41.515,41.94,6668970.0
2024-08-01,42.26,42.6075,40.265,40.805,10633554.0
2024-08-02,39.7,39.88,38.62,39.27,12113396.0
2024-08-05,36.125,37.88,35.915,36.96,22889468.0
2024-08-06,37.22,38.725,37.04,37.65,9921694.0
2024-08-07,38.56,38.9945,37.045,37.12,5993078.0
2024-08-08,37.885,38.935,37.595,38.83,4702908.0
2024-08-09,38.7,39.385,38.525,39.16,3958168.0
2024-08-12,39.335,39.5575,38.86,39.185,3453486.0
2024-08-13,39.675,40.51,39.6401,40.485,3965020.0
2024-08-14,40.6,40.9075,40.1875,40.735,3374240.0
2024-08-15,41.595,42.16,41.4925,42.125,4559722.0
2024-08-16,41.845,42.385,41.8175,42.27,4740884.0
2024-08-19,42.335,43.08,42.205,43.075,3348892.0
2024-08-20,43.0,43.27,42.725,42.93,3345106.0
2024-08-21,43.095,43.4526,42.84,43.235,2714060.0
2024-08-22,43.52,43.615,42.345,42.535,4427470.0
2024-08-23,43.03,43.565,42.68,43.405,4017024.0
2024-08-26,43.57,43.685,42.945,43.19,4034916.0
2024-08-27,42.99,43.3875,42.8118,43.31,5737314.0
2024-08-28,43.25,43.32,42.295,42.805,3594254.0
2024-08-29,43.1,43.6051,42.62,42.785,4767356.0
2024-08-30,43.14,43.665,42.585,43.575,4112592.0
2024-09-03,43.075,43.13,41.385,41.785,11234158.0
2024-09-04,41.48,42.12,41.38,41.585,6098366.0
2024-09-05,41.575,42.0125,41.01,41.385,5145208.0
2024-09-06,41.42,41.6675,39.835,39.99,8532438.0
2024-09-09,40.59,41.05,40.315,40.855,4658572.0
2024-09-10,41.15,41.265,40.409,41.21,3921772.0
2024-09-11,41.19,42.19,39.875,42.03,6438802.0
2024-09-12,42.135,42.795,41.79,42.75,4957948.0
2024-09-13,42.825,43.33,42.785,43.165,4615984.0
2024-09-16,43.125,43.34,42.845,43.3,2466016.0
2024-09-17,43.64,43.86,42.981,43.33,4925936.0
2024-09-18,43.42,44.18,42.975,43.045,7338354.0
2024-09-19,44.53,44.81,44.085,44.515,5450228.0
2024-09-20,44.285,44.51,43.8675,44.315,4138812.0
2024-09-23,44.51,44.664,44.315,44.545,4071092.0
2024-09-24,44.68,44.815,44.23,44.8,3563296.0
2024-09-25,44.69,44.805,44.345,44.51,2599006.0
2024-09-26,45.19,45.235,44.485,44.855,3992584.0
2024-09-27,45.015,45.13,44.55,44.7,3907188.0
2024-09-30,44.54,45.1454,44.18,45.085,5581148.0
2024-10-01,44.99,45.0,43.83,44.245,8203624.0
2024-10-02,44.09,44.435,43.71,44.265,4015062.0
2024-10-03,44.04,44.41,43.745,44.1,4366632.0
2024-10-04,44.785,44.9425,44.145,44.87,4634412.0
2024-10-07,44.615,44.7051,43.88,44.075,5161808.0
2024-10-08,44.455,44.98,44.325,44.885,3536002.0
2024-10-09,44.885,45.59,44.79,45.49,3457652.0
2024-10-10,45.28,45.56,45.08,45.34,3696842.0
2024-10-11,45.295,45.9625,45.28,45.835,4588092.0
2024-10-14,46.1,46.745,46.055,46.59,3564730.0
2024-10-15,46.635,46.68,45.68,45.86,4199570.0
2024-10-16,45.86,46.335,45.73,46.245,2584286.0
2024-10-17,46.83,46.85,46.23,46.24,4090714.0
2024-10-18,46.515,46.715,46.28,46.58,2813062.0
2024-10-21,46.465,46.62,45.94,46.435,3795882.0
2024-10-22,46.01,46.5505,45.905,46.365,3114152.0
2024-10-23,46.025,46.095,44.9425,45.5,5148200.0
2024-10-24,45.82,45.825,45.29,45.69,3457550.0
2024-10-25,46.045,46.505,45.49,45.655,4431072.0
2024-10-28,46.2,46.205,45.8751,45.915,2587280.0
2024-10-29,45.76,46.24,45.535,46.055,2647938.0
2024-10-30,45.985,46.3,45.665,45.765,2683560.0
2024-10-31,45.065,45.08,43.94,43.96,6533488.0
2024-11-01,44.365,45.02,44.26,44.315,5421768.0
2024-11-04,44.33,44.54,43.8201,44.125,4335200.0
2024-11-05,44.27,45.18,44.23,45.18,4392294.0
2024-11-06,47.145,47.56,46.54,47.42,8275502.0
2024-11-07,47.745,48.3097,47.74,48.145,4229986.0
2024-11-08,48.21,48.7629,48.21,48.545,2462296.0
2024-11-11,48.805,48.85,48.3388,48.615,5363928.0
2024-11-12,48.6,48.7,47.905,48.305,4007444.0
2024-11-13,48.385,48.685,48.0,48.355,3186184.0
2024-11-14,48.365,48.44,47.61,47.715,4680008.0
2024-11-15,47.12,47.1875,46.175,46.465,5830086.0
2024-11-18,46.55,47.065,46.405,46.855,3894324.0
2024-11-19,46.29,47.3004,46.185,47.17,3959102.0
2024-11-20,47.19,47.25,46.265,47.205,4514888.0
2024-11-21,47.66,47.9325,46.715,47.69,4789940.0
2024-11-22,47.675,48.07,47.605,47.96,3574998.0
2024-11-25,48.62,48.8225,47.9225,48.275,4073114.0
2024-11-26,48.49,48.895,48.385,48.8,2794746.0
2024-11-27,48.75,48.8,48.23,48.465,3924176.0
2024-11-29,48.58,49.18,48.55,49.035,1410566.0
2024-12-02,49.115,49.33,49.035,49.22,2993344.0
2024-12-03,49.175,49.3,49.005,49.245,2455400.0
2024-12-04,49.53,49.895,49.4225,49.85,3304096.0
2024-12-05,49.85,49.9878,49.64,49.685,2464914.0
2024-12-06,49.79,50.06,49.73,49.865,3296052.0
2024-12-09,49.825,49.8543,49.235,49.33,4204868.0
2024-12-10,49.43,49.485,48.9125,49.035,2352244.0
2024-12-11,49.5,49.925,49.4475,49.77,2177652.0
2024-12-12,49.615,49.71,49.245,49.245,2460998.0
2024-12-13,49.555,49.68,48.9808,49.21,2557762.0
2024-12-16,49.485,49.775,49.3609,49.61,2967374.0
2024-12-17,49.18,49.34,48.97,49.18,3015288.0
2024-12-18,49.14,49.535,46.175,46.345,8320732.0
2024-12-19,47.05,47.3043,46.175,46.215,7121764.0
2024-12-20,45.82,48.02,45.685,47.265,8556322.0
2024-12-23,47.12,47.83,46.615,47.74,3973696.0
2024-12-24,47.93,48.77,47.84,48.75,2264106.0
2024-12-26,48.47,48.96,48.245,48.76,3213322.0
2024-12-27,48.11,48.16,47.035,47.72,5103546.0
2024-12-30,46.575,47.18,46.02,46.62,4737784.0
2024-12-31,46.875,46.98,46.01,46.255,4028968.0
2025-01-02,46.78,47.0501,45.37,46.01,6691962.0
2025-01-03,46.465,47.2542,46.295,47.14,4030872.0
2025-01-06,47.82,48.385,47.415,47.7,4082938.0
2025-01-07,48.02,48.055,46.31,46.625,4533038.0
2025-01-08,46.615,46.895,46.04,46.71,4622550.0
2025-01-10,46.13,46.145,44.97,45.28,9081750.0
2025-01-13,44.53,45.465,44.47,45.42,3920740.0
2025-01-14,45.87,45.96,44.935,45.53,5705434.0
2025-01-15,46.8,47.36,46.615,47.175,4624514.0
2025-01-16,47.39,47.42,46.875,46.995,2693866.0
2025-01-17,47.81,48.1825,47.59,47.89,3728470.0
2025-01-21,48.39,48.765,48.0675,48.76,7236464.0
2025-01-22,49.225,49.531,49.15,49.29,3153740.0
2025-01-23,49.185,49.835,49.15,49.835,2630454.0
2025-01-24,49.83,49.985,49.345,49.525,4584380.0
2025-01-27,47.37,48.155,47.35,48.12,7305688.0
2025-01-28,48.305,49.0647,47.775,48.93,4712974.0
2025-01-29,48.8,48.8575,48.07,48.49,4072752.0
2025-01-30,48.83,49.2459,48.31,48.99,6317278.0
2025-01-31,49.375,49.7707,48.325,48.445,4711516.0
2025-02-03,46.965,48.19,46.625,47.785,7280048.0
2025-02-04,47.795,48.5,47.715,48.425,3254418.0
2025-02-05,48.235,48.8325,47.91,48.805,2604074.0
2025-02-06,49.085,49.16,48.545,49.14,3444586.0
2025-02-07,49.21,49.415,48.11,48.22,4510610.0
2025-02-10,48.735,48.97,48.525,48.86,2016750.0
2025-02-11,48.485,49.02,48.4678,48.915,1837484.0
2025-02-12,47.935,48.8047,47.835,48.615,4392644.0
2025-02-13,48.785,49.665,48.58,49.63,7450646.0
2025-02-14,49.635,49.8,49.49,49.6,3615668.0
2025-02-18,49.775,49.865,49.365,49.86,3293612.0
2025-02-19,49.64,50.1473,49.5525,50.105,8643862.0
2025-02-20,49.87,49.88,49.13,49.68,3851018.0
2025-02-21,49.62,49.625,47.8703,47.96,5301848.0
2025-02-24,48.265,48.43,47.3901,47.505,11625034.0
2025-02-25,47.485,47.6,46.285,47.025,5162976.0
2025-02-26,47.295,47.86,46.646,47.045,4521300.0
2025-02-27,47.425,47.605,45.49,45.555,5007902.0
2025-02-28,45.61,47.035,45.1251,46.935,4871578.0
2025-03-03,47.26,47.435,44.685,45.325,10618404.0
2025-03-04,44.665,45.525,43.495,44.215,6871290.0
2025-03-05,44.175,45.43,43.625,45.165,19684562.0
2025-03-06,43.975,44.705,43.14,43.57,6613934.0
2025-03-07,43.255,44.225,42.45,43.995,7943128.0
2025-03-10,42.73,43.02,40.8901,41.67,7437234.0
2025-03-11,41.46,41.98,40.3702,40.98,8951566.0
