date,open,high,low,close,volume
2024-07-05,92.27,92.725,91.9,92.56,34895512.0
2024-07-08,92.54,92.845,92.2246,92.76,16095651.0
2024-07-09,92.47,92.675,91.87,92.35,30304136.0
2024-07-10,92.45,92.68,92.2603,92.64,23572469.0
2024-07-11,93.68,94.135,93.47,93.54,49761785.0
2024-07-12,93.53,93.94,93.34,93.94,27796476.0
2024-07-15,93.0,93.3,92.78,92.86,37918854.0
2024-07-16,93.53,94.21,93.39,94.17,36383720.0
2024-07-17,93.92,94.4,93.69,94.19,29036838.0
2024-07-18,93.68,94.14,93.38,93.47,34553075.0
2024-07-19,93.04,93.16,92.82,92.92,32164669.0
2024-07-22,93.4,93.52,92.3,92.65,36160366.0
2024-07-23,92.81,93.03,92.49,92.52,23497988.0
2024-07-24,92.59,92.85,91.47,91.52,50757116.0
2024-07-25,92.025,92.86,91.96,92.27,44999074.0
2024-07-26,92.95,93.15,92.71,92.99,34423772.0
2024-07-29,93.67,93.69,93.22,93.49,25801347.0
2024-07-30,93.75,94.05,93.3,93.85,28169820.0
2024-07-31,94.53,94.84,94.24,94.81,47445288.0
2024-08-01,95.14,95.905,95.12,95.31,77254240.0
2024-08-02,97.0,98.37,96.8901,98.28,91912942.0
2024-08-05,99.69,99.935,97.9,98.8,90686310.0
2024-08-06,98.15,98.41,96.59,96.59,61316860.0
2024-08-07,95.95,96.45,95.5,95.91,51337133.0
2024-08-08,95.115,95.4,94.84,95.32,37815770.0
2024-08-09,96.51,96.54,96.0906,96.26,32141763.0
2024-08-12,96.03,96.82,95.88,96.61,24261382.0
2024-08-13,97.3,97.36,96.98,97.28,30366938.0
2024-08-14,97.55,98.16,97.5082,97.89,31334061.0
2024-08-15,96.405,97.1,96.21,97.1,38723695.0
2024-08-16,97.44,97.5399,97.01,97.44,28540965.0
2024-08-19,97.42,98.155,97.405,97.89,25322138.0
2024-08-20,98.32,98.855,98.12,98.67,25239303.0
2024-08-21,98.67,99.2,98.21,98.73,29229982.0
2024-08-22,98.23,98.3,97.43,97.75,33453848.0
2024-08-23,98.19,98.67,97.96,98.39,32005083.0
2024-08-26,98.69,98.6975,98.08,98.14,23198710.0
2024-08-27,97.49,98.08,97.41,97.97,21507650.0
2024-08-28,98.01,98.2,97.725,97.85,18501411.0
2024-08-29,97.37,97.64,97.125,97.53,24988243.0
2024-08-30,97.68,97.985,96.47,96.49,42896190.0
2024-09-03,97.56,98.06,97.42,97.75,48947900.0
2024-09-04,97.88,99.03,97.81,99.01,40885163.0
2024-09-05,99.34,99.6787,98.775,99.57,47450878.0
2024-09-06,99.55,100.78,99.1901,99.56,57406404.0
2024-09-09,99.4,100.1,99.16,99.99,26961402.0
2024-09-10,99.87,100.91,99.82,100.69,31703409.0
2024-09-11,100.49,101.235,100.35,100.61,39497052.0
2024-09-12,100.36,100.55,99.69,100.14,41812529.0
2024-09-13,100.46,100.61,100.02,100.41,25722135.0
2024-09-16,100.63,101.37,100.41,101.33,30866261.0
2024-09-17,101.47,101.64,100.74,100.84,31699372.0
2024-09-18,100.24,100.7266,99.54,99.59,48897047.0
2024-09-19,98.92,99.31,98.77,99.26,39979816.0
2024-09-20,98.99,99.245,98.72,98.88,37067571.0
2024-09-23,98.5,99.09,98.02,98.67,35703932.0
2024-09-24,98.0,98.89,97.85,98.65,31005351.0
2024-09-25,98.26,98.32,97.79,97.83,36738236.0
2024-09-26,98.07,98.245,97.42,98.06,33332315.0
2024-09-27,98.54,98.755,98.21,98.57,28317628.0
2024-09-30,98.64,98.71,97.8839,98.1,34208260.0
2024-10-01,98.8,99.33,98.385,98.49,45254237.0
2024-10-02,97.36,97.73,97.06,97.66,35810763.0
2024-10-03,97.34,97.51,96.74,96.74,39677767.0
2024-10-04,95.44,95.96,95.4,95.55,56970281.0
2024-10-07,94.98,95.2672,94.76,94.83,42606634.0
2024-10-08,94.39,95.03,94.335,94.99,33709587.0
2024-10-09,94.67,94.905,94.23,94.45,35807681.0
2024-10-10,93.88,94.09,93.41,94.08,53667357.0
2024-10-11,93.48,94.0656,93.422,93.7,27406423.0
2024-10-14,93.04,93.78,92.98,93.765,28795344.0
2024-10-15,94.46,95.0,94.3736,94.91,46429050.0
2024-10-16,95.39,95.62,95.14,95.31,32281486.0
2024-10-17,94.29,94.44,93.6701,93.8,43427214.0
2024-10-18,94.05,94.28,93.86,93.87,25258632.0
2024-10-21,93.02,93.09,92.23,92.23,49504698.0
2024-10-22,92.65,92.76,92.091,92.32,32096893.0
2024-10-23,91.84,92.37,91.6601,92.07,33354245.0
2024-10-24,92.23,93.0,91.96,92.66,32507395.0
2024-10-25,92.99,93.0375,92.02,92.14,28667060.0
2024-10-28,92.27,92.29,91.415,91.89,33156461.0
2024-10-29,91.17,92.06,90.9837,92.03,46545204.0
2024-10-30,92.84,93.285,92.16,92.3,41951068.0
2024-10-31,92.2,92.94,91.87,92.45,52173754.0
2024-11-01,92.26,92.515,90.8,90.84,80401983.0
2024-11-04,92.28,92.57,91.63,92.25,49747594.0
2024-11-05,92.03,92.9,91.6,92.74,46986037.0
2024-11-06,89.64,90.72,89.5545,90.2,98895693.0
