date,open,high,low,close,volume
2024-07-05,49.45,50.2,48.89,49.92,5863573.0
2024-07-08,49.91,50.39,49.404,50.19,3656691.0
2024-07-09,49.78,50.08,48.8,49.51,4895486.0
2024-07-10,49.75,50.07,49.4,50.0,3877548.0
2024-07-11,51.7,52.43,51.3601,51.51,10265456.0
2024-07-12,51.35,52.02,51.105,51.99,4946765.0
2024-07-15,50.51,51.0,50.12,50.27,6386570.0
2024-07-16,51.31,52.41,51.09,52.33,6161005.0
2024-07-17,51.92,52.7,51.53,52.37,6787511.0
2024-07-18,51.56,52.26,50.9801,51.18,4729648.0
2024-07-19,50.42,50.59,50.045,50.25,3650546.0
2024-07-22,50.96,51.14,49.18,49.7,5215253.0
2024-07-23,49.99,50.33,49.47,49.57,3162914.0
2024-07-24,49.62,50.02,47.83,47.9,8514200.0
2024-07-25,48.69,49.9802,48.565,49.07,8505824.0
2024-07-26,50.05,50.39,49.7,50.17,4520591.0
2024-07-29,51.24,51.25,50.505,50.95,3877416.0
2024-07-30,51.35,51.82,50.61,51.47,4875479.0
2024-07-31,52.57,53.11,52.13,53.06,7913535.0
2024-08-01,54.1,55.425,54.1,54.48,13760484.0
2024-08-02,57.17,59.595,57.08,59.41,18900959.0
2024-08-05,61.98,62.42,58.73,60.32,24384007.0
2024-08-06,59.12,59.6298,56.42,56.43,13573339.0
2024-08-07,55.15,56.04,54.37,55.0,11968693.0
2024-08-08,53.69,54.18,53.22,54.01,9323135.0
2024-08-09,56.0,56.065,55.315,55.63,5908238.0
2024-08-12,55.2,56.54,54.93,56.23,6347836.0
2024-08-13,57.39,57.48,56.8,57.3,5959663.0
2024-08-14,57.8,58.85,57.71,58.41,8232273.0
2024-08-15,55.73,56.93,55.37,56.93,8764547.0
2024-08-16,57.44,57.67,56.75,57.44,5797949.0
2024-08-19,57.45,58.74,57.41,58.24,6075620.0
2024-08-20,59.03,59.96,58.6612,59.7,6291827.0
2024-08-21,59.62,60.55,58.79,59.7,8292578.0
2024-08-22,58.81,58.93,57.344,57.92,9118690.0
2024-08-23,58.68,59.49,58.2503,58.97,7711417.0
2024-08-26,59.5,59.55,58.44,58.52,5554507.0
2024-08-27,57.33,58.4,57.21,58.2,5700130.0
2024-08-28,58.26,58.59,57.76,57.99,4154302.0
2024-08-29,57.15,57.58,56.68,57.34,5564738.0
2024-08-30,57.6,58.1099,55.52,55.57,9047636.0
2024-09-03,57.82,58.7,57.59,58.19,10087948.0
2024-09-04,58.38,60.42,58.25,60.36,8809603.0
2024-09-05,60.95,61.58,59.94,61.36,10178127.0
2024-09-06,61.26,63.56,60.635,61.32,17441811.0
2024-09-09,60.965,62.295,60.561,62.03,7162882.0
2024-09-10,61.9,63.76,61.75,63.3,7827646.0
2024-09-11,62.95,64.37,62.71,63.15,11145820.0
2024-09-12,62.7,63.05,61.45,62.27,9094346.0
2024-09-13,62.83,63.0801,62.0193,62.71,5668601.0
2024-09-16,63.14,64.48,62.721,64.33,7148458.0
2024-09-17,64.66,64.98,63.27,63.42,8590617.0
2024-09-18,62.33,63.23,61.03,61.15,13750317.0
2024-09-19,59.85,60.55,59.57,60.51,12014287.0
2024-09-20,59.93,60.37,59.42,59.8,7316579.0
2024-09-23,58.95,60.035,58.12,59.32,9837114.0
2024-09-24,57.6,59.23,57.385,58.92,9676425.0
2024-09-25,58.13,58.22,57.3,57.36,7283897.0
2024-09-26,57.77,58.0297,56.6,57.7,8968855.0
2024-09-27,58.43,58.885,57.93,58.52,7243536.0
2024-09-30,58.63,58.78,57.33,57.76,7643395.0
2024-10-01,59.4,60.395,58.74,58.92,10508630.0
2024-10-02,56.85,57.53,56.345,57.47,10119306.0
2024-10-03,56.86,57.13,55.8,55.85,8063743.0
2024-10-04,53.48,54.36,53.42,53.64,16718317.0
2024-10-07,52.7,53.17,52.325,52.48,10458201.0
2024-10-08,51.77,52.73,51.6121,52.7,9592563.0
2024-10-09,52.14,52.525,51.415,51.77,8634865.0
2024-10-10,50.81,51.14,50.04,51.08,13940040.0
2024-10-11,50.13,51.05,50.02,50.5,8223923.0
2024-10-14,49.4,50.55,49.26,50.54,8732530.0
2024-10-15,51.64,52.52,51.52,52.44,13065667.0
2024-10-16,53.12,53.54,52.74,52.96,7418672.0
2024-10-17,51.36,51.53,50.28,50.52,10606491.0
2024-10-18,50.83,51.21,50.56,50.6,6133332.0
2024-10-21,49.12,49.27,47.92,47.92,13326260.0
2024-10-22,48.53,48.69,47.64,48.04,10613283.0
2024-10-23,47.21,48.05,46.96,47.66,10908860.0
2024-10-24,47.78,49.0,47.41,48.51,11244475.0
2024-10-25,48.92,49.025,47.43,47.63,8858439.0
2024-10-28,47.82,47.83,46.4901,47.26,10190672.0
2024-10-29,46.11,47.45,45.795,47.39,14466218.0
2024-10-30,48.67,49.34,47.6,47.82,13460884.0
2024-10-31,47.67,48.785,47.135,48.03,14153763.0
2024-11-01,48.15,48.57,45.9,46.0,20529308.0
2024-11-04,48.13,48.56,47.14,48.05,14393237.0
2024-11-05,47.75,49.07,47.05,48.8,14765865.0
2024-11-06,43.91,45.61,43.8,44.89,29791015.0
2024-11-07,45.62,46.895,45.4627,46.44,14778416.0
2024-11-08,47.45,48.35,47.21,48.16,17244358.0
2024-11-11,47.8,47.86,46.83,47.5,9840995.0
2024-11-12,46.39,47.13,45.09,45.33,15903960.0
2024-11-13,46.61,46.63,43.905,44.1,17144535.0
2024-11-14,45.1,45.79,44.68,44.81,12241524.0
2024-11-15,44.11,45.19,43.515,44.38,15451409.0
2024-11-18,43.74,45.09,43.39,44.56,13095232.0
2024-11-19,45.43,45.79,45.139,45.25,8115430.0
2024-11-20,44.4,45.42,44.355,44.84,8437553.0
2024-11-21,44.82,45.43,44.17,44.61,8259190.0
2024-11-22,44.91,45.16,44.36,44.71,6997643.0
2024-11-25,47.38,48.2376,47.07,48.1,12330781.0
2024-11-26,47.28,47.695,46.72,47.64,6492187.0
2024-11-27,48.61,49.12,48.02,48.62,8516545.0
2024-11-29,49.68,50.0,49.1801,49.79,5684665.0
2024-12-02,49.35,50.78,48.97,50.31,10137016.0
2024-12-03,50.38,50.58,48.911,49.06,6954898.0
2024-12-04,48.33,50.78,48.18,50.57,7490059.0
2024-12-05,50.0,51.1,49.91,50.86,5647293.0
2024-12-06,51.55,51.8,50.47,50.97,5613682.0
2024-12-09,50.36,50.4696,49.53,49.71,5365977.0
2024-12-10,48.81,49.25,48.623,48.88,4632883.0
2024-12-11,48.85,49.22,47.36,47.5,7741569.0
2024-12-12,46.63,46.84,45.65,45.75,8909090.0
2024-12-13,45.29,45.3799,44.2429,44.54,8637777.0
2024-12-16,44.88,44.99,44.17,44.67,7127255.0
2024-12-17,44.82,45.535,44.7498,45.03,6632351.0
2024-12-18,44.59,45.11,43.305,43.37,11751909.0
2024-12-19,41.74,42.16,40.9,41.37,17940288.0
2024-12-20,42.34,42.8453,41.97,42.02,7720330.0
2024-12-23,41.26,41.36,40.23,40.33,9413398.0
2024-12-24,39.64,40.82,39.575,40.78,8384794.0
2024-12-26,39.86,40.89,39.84,40.69,8275235.0
2024-12-27,40.21,40.63,39.65,39.71,8141048.0
2024-12-30,40.67,40.945,40.45,40.65,7708609.0
2024-12-31,41.01,41.27,39.88,39.97,6903772.0
2025-01-02,40.56,41.025,39.77,40.26,6816054.0
2025-01-03,40.44,40.65,39.7,39.83,6881604.0
2025-01-06,39.52,39.7366,38.975,39.37,8484414.0
2025-01-07,38.88,39.1,37.78,37.98,11190638.0
2025-01-08,37.32,38.29,37.16,38.09,11708311.0
2025-01-10,37.04,37.78,36.87,37.3,11586111.0
2025-01-13,37.37,37.505,36.715,37.09,7931629.0
2025-01-14,36.94,37.11,36.51,36.98,9288068.0
2025-01-15,38.86,39.2,38.45,38.87,9064217.0
2025-01-16,38.8,39.76,38.28,39.29,7889839.0
2025-01-17,39.79,39.84,39.25,39.38,5787308.0
2025-01-21,40.38,40.76,40.02,40.45,6555311.0
2025-01-22,40.34,40.4712,39.58,39.85,4764245.0
2025-01-23,38.65,39.115,38.5,38.93,5821479.0
2025-01-24,38.73,39.47,38.56,39.34,5002010.0
2025-01-27,40.62,40.995,40.225,40.81,7536229.0
2025-01-28,40.18,40.675,39.915,40.61,3946874.0
2025-01-29,40.99,41.23,39.86,40.37,5420706.0
2025-01-30,40.95,41.356,40.62,40.85,4747644.0
2025-01-31,40.9,41.27,39.56,39.9,6006949.0
2025-02-03,41.5,42.26,40.485,40.95,11463913.0
2025-02-04,40.09,41.345,40.0,41.29,5193332.0
2025-02-05,42.73,43.75,42.66,43.32,8170809.0
2025-02-06,43.32,43.73,42.86,43.37,4936513.0
2025-02-07,42.37,42.68,41.935,42.42,6607361.0
2025-02-10,42.37,42.77,41.79,42.0,4232293.0
2025-02-11,41.35,41.5507,41.12,41.21,4185179.0
2025-02-12,39.59,40.01,39.01,39.54,9445126.0
2025-02-13,40.67,41.75,40.63,41.41,5678841.0
2025-02-14,42.39,42.8,42.04,42.09,4599498.0
2025-02-18,41.2,41.63,40.5,40.6,4789379.0
2025-02-19,40.38,41.045,40.27,40.75,3783141.0
2025-02-20,41.04,41.45,41.0318,41.07,3603669.0
2025-02-21,41.58,43.0265,41.505,42.61,5880417.0
2025-02-24,42.1,43.24,42.09,42.94,5581952.0
2025-02-25,44.5,45.26,44.28,45.13,7673348.0
2025-02-26,45.15,46.08,44.82,45.88,6344941.0
2025-02-27,44.94,45.67,44.72,44.99,6402088.0
2025-02-28,45.73,46.6,45.15,46.58,6702982.0
2025-03-03,45.5,47.395,45.41,47.23,6649023.0
2025-03-04,46.97,47.53,45.21,45.49,9532704.0
2025-03-05,45.63,46.005,44.23,44.4,8379732.0
2025-03-06,44.02,44.48,42.95,43.91,8423712.0
2025-03-07,44.93,44.978,43.27,43.45,8427737.0
2025-03-10,44.82,45.615,44.58,44.82,7269014.0
2025-03-11,44.66,45.4101,43.42,43.83,6670002.0
2025-03-12,43.23,43.76,42.9,43.02,6129175.0
2025-03-13,42.6,44.21,42.315,44.1,6302328.0
2025-03-14,43.18,43.75,42.94,43.38,4664446.0
2025-03-17,44.28,44.85,43.695,44.01,5041619.0
2025-03-18,43.32,44.62,43.28,44.2,4099685.0
2025-03-19,44.07,44.8737,43.67,44.81,5053745.0
2025-03-20,46.31,46.3699,44.77,44.96,6176101.0
2025-03-21,44.99,45.14,43.95,44.08,5022333.0
2025-03-24,43.34,43.4191,42.6,42.69,6019786.0
2025-03-25,42.1,42.85,42.0314,42.4,4967170.0
2025-03-26,41.84,42.11,41.42,41.58,5967449.0
2025-03-27,41.02,41.3,40.7612,41.19,4930208.0
2025-03-28,42.45,43.075,42.35,42.8,6629750.0
2025-03-31,44.36,44.4807,43.115,44.0,6369601.0
2025-04-01,44.81,45.78,44.79,45.14,7170855.0
2025-04-02,46.47,46.47,43.97,45.05,7638096.0
2025-04-03,46.68,46.98,45.7,45.7,11238854.0
2025-04-04,48.3,48.9778,47.13,47.18,18088625.0
2025-04-07,45.6,46.13,42.5,42.85,21105840.0
2025-04-08,41.79,43.08,40.25,40.41,18090039.0
2025-04-09,38.89,41.18,37.06,41.18,33110070.0
2025-04-10,39.56,40.1601,37.635,37.77,17198351.0
2025-04-11,36.96,38.83,35.87,38.31,23849176.0
2025-04-14,38.99,39.38,38.21,39.08,10586948.0
2025-04-15,38.63,39.98,38.45,39.49,7937610.0
2025-04-16,39.47,40.395,39.02,40.19,7940495.0
2025-04-17,39.77,39.96,38.635,39.1,8177257.0
2025-04-21,37.84,38.41,36.97,37.06,7827077.0
2025-04-22,38.05,38.29,37.48,37.66,5646223.0
2025-04-23,40.72,40.93,38.47,38.74,10360578.0
2025-04-24,39.58,40.0,39.2403,39.85,4863040.0
2025-04-25,40.75,41.0,40.32,40.61,5539155.0
2025-04-28,40.39,41.56,40.33,41.44,4443473.0
2025-04-29,41.27,42.48,41.24,42.43,4540410.0
2025-04-30,41.915,42.2592,41.26,41.6,9852148.0
2025-05-01,41.62,41.635,40.2799,40.78,8499873.0
2025-05-02,39.43,39.93,39.21,39.54,9091300.0
2025-05-05,38.92,39.01,38.2401,38.76,5706937.0
2025-05-06,38.19,39.145,37.98,39.08,5993373.0
2025-05-07,39.67,40.04,39.525,39.61,6078494.0
2025-05-08,39.76,39.84,38.29,38.34,7185626.0
2025-05-09,38.38,38.78,38.275,38.46,4682349.0
2025-05-12,37.52,38.07,37.305,37.43,10749905.0
2025-05-13,37.21,37.41,36.41,36.91,15567416.0
2025-05-14,36.74,36.86,36.01,36.2,13234703.0
2025-05-15,36.54,37.41,36.35,37.09,12452726.0
2025-05-16,38.09,38.115,37.2098,37.39,10676353.0
2025-05-19,35.57,37.1,35.43,37.03,15145847.0
2025-05-20,36.2,36.43,35.725,36.19,11185531.0
2025-05-21,35.26,35.715,34.095,34.38,21648878.0
2025-05-22,33.79,34.88,33.5099,34.88,16592300.0
2025-05-23,35.26,35.31,34.685,34.99,11509479.0
2025-05-27,35.96,36.79,35.73,36.52,11699045.0
2025-05-28,36.0,36.18,35.47,35.93,7915544.0
2025-05-29,36.46,37.07,36.3,36.94,10366509.0
2025-05-30,36.84,37.305,36.57,36.94,9310291.0
2025-06-02,36.21,36.44,35.56,35.99,7387532.0
2025-06-03,36.4,36.75,35.68,35.85,6993280.0
2025-06-04,36.78,37.87,36.61,37.56,11278762.0
2025-06-05,37.93,38.245,37.34,37.61,10060218.0
2025-06-06,36.71,36.9,36.075,36.18,9804926.0
2025-06-09,35.76,36.52,35.76,36.28,5765199.0
2025-06-10,37.09,37.18,36.35,36.76,5189418.0
2025-06-11,36.72,37.45,36.575,37.1,9044523.0
2025-06-12,38.12,38.46,37.71,38.42,8719163.0
2025-06-13,37.83,38.03,36.57,37.2,10104808.0
2025-06-16,36.965,37.41,36.2,36.23,7468243.0
