date,open,high,low,close,volume
2024-07-05,79.9,81.31,79.6,81.12,3205705.0
2024-07-08,81.48,81.8,80.89,81.37,2528268.0
2024-07-09,81.77,82.17,81.4599,81.57,2145212.0
2024-07-10,82.11,84.13,81.98,83.92,2500498.0
2024-07-11,84.01,84.4,81.48,81.76,5672089.0
2024-07-12,82.21,84.87,82.05,83.22,4657197.0
2024-07-15,84.12,85.36,83.0569,83.9,8540479.0
2024-07-16,84.47,85.48,84.12,85.37,3117414.0
2024-07-17,82.56,83.35,81.59,81.73,4552406.0
2024-07-18,82.4,82.84,78.85,79.79,5761772.0
2024-07-19,79.61,80.34,77.68,78.11,4254657.0
2024-07-22,79.83,80.79,78.98,80.54,5229221.0
2024-07-23,80.46,81.415,79.91,80.12,3713521.0
2024-07-24,77.93,78.0894,74.23,74.64,7665348.0
2024-07-25,74.65,77.1811,73.06,73.42,9370556.0
2024-07-26,74.95,76.9599,74.6301,75.84,5798001.0
2024-07-29,76.46,76.8997,75.08,75.91,4323884.0
2024-07-30,76.54,76.98,73.3,74.74,4354376.0
2024-07-31,77.6,79.47,77.04,78.23,6042923.0
2024-08-01,79.1,80.06,73.5,75.01,9588405.0
2024-08-02,71.91,72.44,68.97,70.77,11936386.0
2024-08-05,62.21,67.01,61.71,64.53,13287757.0
2024-08-06,65.21,69.13,64.68,66.3,8450274.0
2024-08-07,68.69,69.865,64.7001,64.91,6425818.0
2024-08-08,66.9,69.65,66.1,69.39,4358900.0
2024-08-09,69.02,70.85,68.53,70.24,4320878.0
2024-08-12,70.7,71.32,69.43,70.32,5028084.0
2024-08-13,71.63,73.88,71.53,73.77,4384496.0
2024-08-14,74.14,74.955,72.97,74.48,4931197.0
2024-08-15,76.78,78.38,76.57,78.26,4323691.0
2024-08-16,77.5,79.01,77.43,78.67,3257027.0
2024-08-19,78.87,80.93,78.52,80.93,3304947.0
2024-08-20,80.72,81.46,79.93,80.49,2806184.0
2024-08-21,80.94,81.97,80.19,81.36,3541023.0
2024-08-22,82.16,82.42,78.85,79.38,4354630.0
2024-08-23,80.75,82.24,79.77,81.81,5118813.0
2024-08-26,82.24,82.57,80.47,81.17,3301278.0
2024-08-27,80.61,81.73,80.13,81.51,2652627.0
2024-08-28,81.36,81.53,78.644,80.07,3505034.0
2024-08-29,80.9,82.34,79.56,80.03,5456689.0
2024-08-30,80.99,82.45,79.425,82.2,4147130.0
2024-09-03,80.79,80.95,76.0,77.14,6598918.0
2024-09-04,76.29,78.06,76.0,76.57,5215740.0
2024-09-05,76.54,77.77,74.97,76.01,4482026.0
2024-09-06,76.09,76.77,71.72,72.12,7081836.0
2024-09-09,73.81,75.01,73.0,74.48,4155641.0
2024-09-10,75.26,75.595,73.24,75.43,3427817.0
2024-09-11,75.4,78.14,71.77,77.7,6822083.0
2024-09-12,77.99,79.81,77.02,79.66,4560509.0
2024-09-13,79.88,81.29,79.77,80.83,4017900.0
2024-09-16,80.71,81.3,79.93,81.21,2639469.0
2024-09-17,82.15,82.79,80.28,81.28,3493484.0
2024-09-18,81.53,83.67,80.28,80.5,5697774.0
2024-09-19,84.63,85.42,83.3807,84.59,5079543.0
2024-09-20,83.95,84.555,82.73,84.02,4089066.0
2024-09-23,84.55,84.99,84.01,84.67,3149300.0
2024-09-24,85.02,85.42,83.75,85.39,3467166.0
2024-09-25,85.09,85.41,84.07,84.55,3043117.0
2024-09-26,86.51,86.63,84.49,85.57,3761668.0
2024-09-27,85.98,86.3486,84.66,85.09,3148033.0
2024-09-30,84.61,86.37,83.58,86.19,3362679.0
2024-10-01,85.91,85.93,82.58,83.8,5914236.0
2024-10-02,83.33,84.3,82.25,83.81,3100894.0
2024-10-03,83.17,84.23,82.33,83.34,3960180.0
2024-10-04,85.27,85.71,83.43,85.52,4977751.0
2024-10-07,84.77,85.06,82.67,83.22,4657239.0
2024-10-08,84.3,85.7798,83.93,85.53,3049247.0
2024-10-09,85.5,87.5399,85.24,87.27,3551199.0
2024-10-10,86.66,87.44,86.05,86.79,3300329.0
2024-10-11,86.65,88.57,86.6,88.22,2940612.0
2024-10-14,88.99,90.82,88.83,90.39,2982088.0
2024-10-15,90.5,90.65,87.71,88.29,4602753.0
2024-10-16,88.24,89.62,87.88,89.37,2679632.0
2024-10-17,91.04,91.124,89.31,89.39,3484304.0
2024-10-18,90.11,90.7,89.42,90.31,2207146.0
2024-10-21,89.98,90.42,88.46,89.88,3368093.0
2024-10-22,88.63,90.21,88.33,89.69,2797598.0
2024-10-23,88.69,88.9,85.53,87.17,4292224.0
2024-10-24,88.09,88.1,86.54,87.71,3369234.0
2024-10-25,88.69,90.0201,87.12,87.54,4653560.0
2024-10-28,89.12,89.14,88.2,88.33,2906447.0
2024-10-29,87.86,89.255,87.21,88.71,2836533.0
2024-10-30,88.51,89.42,87.57,87.9,3107863.0
2024-10-31,85.86,85.89,82.62,82.66,6461183.0
2024-11-01,83.8,85.6439,83.49,83.66,4409763.0
2024-11-04,83.71,84.29,82.265,83.09,3364724.0
2024-11-05,83.52,86.1,83.41,86.09,3214568.0
2024-11-06,91.67,92.8898,89.97,92.5,7138662.0
2024-11-07,93.44,95.0799,93.38,94.58,3854643.0
2024-11-08,94.76,96.4,94.76,95.78,3727387.0
2024-11-11,96.53,96.66,95.1501,95.98,2856743.0
2024-11-12,95.93,96.21,93.84,95.05,3531906.0
2024-11-13,95.24,96.15,94.11,95.17,3611306.0
2024-11-14,95.2,95.4401,92.97,93.3,3269292.0
2024-11-15,91.53,91.735,88.73,89.62,5043353.0
2024-11-18,89.83,91.32,89.41,90.71,3077868.0
2024-11-19,89.08,92.01,88.78,91.7,3637077.0
2024-11-20,91.7,91.86,88.99,91.75,3972873.0
2024-11-21,93.07,93.8499,90.2917,93.17,4944499.0
2024-11-22,93.1,94.26,92.8705,93.94,2983237.0
2024-11-25,95.83,96.47,93.77,94.86,4131912.0
2024-11-26,95.45,96.67,95.14,96.38,3253109.0
2024-11-27,96.21,96.37,94.66,95.39,2693593.0
2024-11-29,95.69,97.4698,95.59,97.05,1798429.0
2024-12-02,97.28,97.9099,97.03,97.62,2394535.0
2024-12-03,97.48,97.81,96.95,97.67,2111250.0
2024-12-04,98.49,99.58,98.18,99.44,3113680.0
2024-12-05,99.44,99.8555,98.79,98.96,2103631.0
2024-12-06,99.25,100.06,99.0505,99.48,2901931.0
2024-12-09,99.34,99.43,97.57,97.86,3326175.0
2024-12-10,98.16,98.335,96.6,96.94,2314048.0
2024-12-11,98.32,99.61,98.18,99.18,2333980.0
2024-12-12,98.68,98.9483,97.58,97.6,2464797.0
2024-12-13,98.47,98.8499,96.7501,97.46,2761652.0
2024-12-16,98.24,99.12,97.89,98.63,2664838.0
2024-12-17,97.35,97.81,96.705,97.37,3155593.0
2024-12-18,97.21,98.3997,88.43,88.74,7538809.0
2024-12-19,90.9,91.65,88.425,88.54,6655367.0
2024-12-20,87.35,93.7,86.975,91.48,7185193.0
2024-12-23,91.22,93.26,89.73,93.01,3728213.0
2024-12-24,93.55,96.02,93.28,95.98,2349821.0
2024-12-26,95.11,96.5401,94.46,95.97,2961468.0
2024-12-27,94.08,94.21,90.85,92.91,5207299.0
2024-12-30,89.5,91.31,87.89,89.66,5261846.0
2024-12-31,90.39,90.7095,87.89,88.64,4339626.0
2025-01-02,90.07,90.89,86.09,87.9,5994152.0
2025-01-03,89.2,91.45,88.69,91.12,9809820.0
2025-01-06,93.1,94.72,91.89,92.7,4327989.0
2025-01-07,93.66,93.79,88.66,89.6,4744789.0
2025-01-08,89.52,90.355,87.91,89.84,3747652.0
2025-01-10,88.14,88.17,84.79,85.7,8894781.0
2025-01-13,83.56,86.21,83.3625,86.11,4371821.0
2025-01-14,87.35,87.63,84.7,86.36,4444059.0
2025-01-15,89.99,91.58,89.47,91.07,5440766.0
2025-01-16,91.68,91.76,90.19,90.55,3315360.0
2025-01-17,92.83,93.94,92.23,93.1,3550647.0
