,Pair,Long Short Band,Foil Decay Band,Leverage,Gross return %,Net return %,Borrow paid ($),Max drawdown %,Worst day %,Trades,Rate source,Shares available,Borrow rate (used) %,Breakeven borrow rate % (annualized),Min margin cushion ($),Stopped,De-risks
0,TQQQ / QQQ,0.1,0.1,3,10.465559134210945,9.944469318718864,52.108981549208224,-0.2616945088519526,-0.2616945088519526,127,live,10000000,0.8144,16.435026327452253,1840.320050344686,False,0
1,UPRO / SPY,0.1,0.1,3,10.28067359800556,9.721037010215722,55.96365877898354,-1.2212689391721636,-1.2212689391721636,83,live,700000,0.8744999999999999,12.522238055329494,1922.4628383988966,False,0
2,UDOW / DIA,0.1,0.1,3,9.323387972437,7.679051228202612,164.4336744234388,-0.2319644528704299,-0.2315959792828971,76,live,250000,2.56729999999999,11.145011917678577,2001.9104486637298,False,0
3,TNA / IWM,0.1,0.1,3,11.092251064286824,7.688835797059684,340.3415267227141,-0.9796423099794607,-0.9616421177192704,124,live,250000,5.3536,14.020265896882956,1876.536379795678,False,0
4,TMF / TLT,0.1,0.1,3,10.11191746854684,9.2015660846164,91.03513839304392,-0.2816634196183139,-0.22829200300155264,64,live,3600000,1.45029999999999,2.54998576657582,1781.7310602844282,False,0
5,SOXL / SOXX,0.1,0.1,3,11.882673013964617,8.98323415232396,289.9438861640659,-1.1308359490653028,-1.1308359490653028,240,live,35000,4.5579,16.86583146737336,1902.8179428331632,False,0
6,FAS / XLF,0.1,0.1,3,10.652149583289576,10.039734287119305,61.24152961702699,-0.4017401969686594,-0.342188684518521,94,live,600000,0.9570000000000001,16.807501936890695,1932.4062262514544,False,0
7,ERX / XLE,0.1,0.1,2,14.665367775926313,9.052450556886154,561.2917219040157,-0.7351085677492012,-0.5797296731507071,33,live,150000,5.8776,3.7694702930267274,2110.3463076482276,False,0
8,QLD / QQQ,0.1,0.1,2,7.235210565605097,6.759349961894278,47.58606037108191,-0.5138754934611637,-0.2330034101488985,29,live,3200000,0.4954,6.517861989070582,1945.8556618760394,False,0
9,SSO / SPY,0.1,0.1,2,7.225827095027205,6.629389715262021,59.643737976518416,-1.2005833932305783,-1.2005833932305783,18,live,2900000,0.6181,6.097659853847062,1991.8964644637235,False,0
10,NVDL / NVDA,0.1,0.1,2,17.650599496245157,13.06736691982088,458.32325764242756,-0.9305125426123391,-0.8205700220117802,77,live,3200000,4.8122,18.303544565736868,2093.1036515675696,False,0
11,TSLL / TSLA,0.1,0.1,2,17.30868751156128,13.712988465435338,359.5699046125947,-1.2370122022580243,-0.6225320029719825,104,live,2200000,3.7813,24.47891051421896,1978.7384973960097,False,0
12,CONL / COIN,0.1,0.1,2,27.530620634568653,18.947116203996288,858.2815533751582,-0.9465993728691366,-0.6556307937752761,157,live,300000,9.0867,29.145860523912287,1875.8302291066166,False,1
13,TSLT / TSLA,0.1,0.1,2,22.7595299818905,18.660288206517507,409.92417753729904,-1.8104853019360454,-1.4926746871269927,107,live,600000,4.3148,23.956337622199833,2109.542916539771,False,0
14,AGQ / SLV,0.1,0.1,2,12.124239098446724,11.433699777057429,69.05393213892945,-7.048598038639466,-2.5194088482108143,83,live,1100000,0.7224999999999999,12.685393108395408,1646.119599893329,False,0
15,SHNY / GLD,0.1,0.1,3,19.65230822747433,17.733710271392415,191.85979560819118,-0.6748849144422627,-0.6748849144422627,145,live,95000,3.0107,30.838771714990276,2036.2167889752282,False,0
