,Pair,Long Short Band,Foil Decay Band,Leverage,Gross return %,Net return %,Borrow paid ($),Max drawdown %,Worst day %,Trades,Rate source,Shares available,Borrow rate (used) %,Breakeven borrow rate % (annualized),Min margin cushion ($),Stopped,De-risks
0,TQQQ / QQQ,0.005,0.01,3,9.870180861191862,9.34120499477064,52.8975866421221,-0.3439622864637431,-0.33359063277552764,460,live,10000000,0.8377000000000001,15.630676241166103,2442.285863552417,False,0
1,TQQQ / QQQ,0.005,0.025,3,9.873932977060084,9.344381351225852,52.95516258342326,-0.34396228646374194,-0.33359063277552764,459,live,10000000,0.8377000000000001,15.619617146586695,2330.45997413038,False,0
2,TQQQ / QQQ,0.005,0.05,3,9.865386076955954,9.333080613968862,53.23054629870911,-0.3565750661242453,-0.345860824948179,459,live,10000000,0.8377000000000001,15.525359950826617,2200.160426472079,False,0
3,TQQQ / QQQ,0.005,0.075,3,9.820712587517397,9.287262057861206,53.34505296561895,-0.36749082088238194,-0.35652122437590716,459,live,10000000,0.8377000000000001,15.421881650142009,2118.828588228701,False,0
4,TQQQ / QQQ,0.005,0.1,3,9.856998717581257,9.321450878382215,53.55478391990429,-0.3369898797343069,-0.3268076100970313,460,live,10000000,0.8377000000000001,15.418245059240984,1897.2967571590216,False,0
5,TQQQ / QQQ,0.005,0.015,3,9.86351819046284,9.334664311599937,52.88538788629028,-0.34396228646374194,-0.3335906327755265,460,live,10000000,0.8377000000000001,15.623728062497005,2442.285863552417,False,0
6,TQQQ / QQQ,0.0075,0.01,3,9.89961886675765,9.37064300033643,52.8975866421221,-0.3439622864637431,-0.33359063277552764,440,live,10000000,0.8377000000000001,15.677295035761214,2442.285863552417,False,0
7,TQQQ / QQQ,0.0075,0.025,3,9.902851455173234,9.373299829339,52.95516258342326,-0.34396228646374194,-0.33359063277552764,438,live,10000000,0.8377000000000001,15.665363411792136,2330.45997413038,False,0
8,TQQQ / QQQ,0.0075,0.05,3,9.896002307923247,9.363696844936156,53.23054629870911,-0.3565750661242453,-0.345860824948179,441,live,10000000,0.8377000000000001,15.573541340018792,2200.160426472079,False,0
9,TQQQ / QQQ,0.0075,0.075,3,9.856233913450051,9.322783383793862,53.34505296561894,-0.3674908208823831,-0.35652122437590833,438,live,10000000,0.8377000000000001,15.477662295355653,2119.6621917987113,False,0
10,TQQQ / QQQ,0.0075,0.1,3,9.882731760718084,9.34718392151904,53.55478391990429,-0.3369898797343069,-0.3268076100970313,439,live,10000000,0.8377000000000001,15.458496496475723,1898.0559622801175,False,0
11,TQQQ / QQQ,0.0075,0.015,3,9.895663464705724,9.366809585842821,52.88538788629028,-0.34396228646374194,-0.3335906327755265,440,live,10000000,0.8377000000000001,15.674645900693,2442.285863552417,False,0
12,TQQQ / QQQ,0.01,0.01,3,9.884166755524348,9.355190889103127,52.8975866421221,-0.3439622864637431,-0.33359063277552764,425,live,10000000,0.8377000000000001,15.652824668771292,2442.285863552417,False,0
13,TQQQ / QQQ,0.01,0.025,3,9.888214460286644,9.35866283445241,52.95516258342326,-0.34396228646374194,-0.33359063277552764,423,live,10000000,0.8377000000000001,15.642209086475544,2330.45997413038,False,0
14,TQQQ / QQQ,0.01,0.05,3,9.885936648583801,9.353631185596711,53.23054629870911,-0.3565750661242453,-0.345860824948179,426,live,10000000,0.8377000000000001,15.55770080593647,2200.160426472079,False,0
15,TQQQ / QQQ,0.01,0.075,3,9.824587936848609,9.29113740719242,53.34505296561895,-0.36749082088238194,-0.35652122437590716,425,live,10000000,0.8377000000000001,15.427967275620436,2119.6621917987113,False,0
16,TQQQ / QQQ,0.01,0.1,3,9.866423008909713,9.33087516971067,53.55478391990429,-0.3369898797343069,-0.3268076100970313,425,live,10000000,0.8377000000000001,15.432986466577542,1898.0559622801175,False,0
17,TQQQ / QQQ,0.01,0.015,3,9.880937439721995,9.352083560859093,52.88538788629028,-0.34396228646374194,-0.3335906327755265,425,live,10000000,0.8377000000000001,15.651320003650524,2442.285863552417,False,0
18,TQQQ / QQQ,0.025,0.01,3,9.915692544761013,9.386716678339793,52.8975866421221,-0.3439622864637431,-0.33359063277552764,361,live,10000000,0.8377000000000001,15.702749732124799,2456.692545787182,False,0
19,TQQQ / QQQ,0.025,0.025,3,9.92627240620877,9.396720780374537,52.95516258342326,-0.34396228646374194,-0.33359063277552764,348,live,10000000,0.8377000000000001,15.70241311521163,2346.2537233932917,False,0
20,TQQQ / QQQ,0.025,0.05,3,9.909047574480935,9.376742111493844,53.23054629870911,-0.3565750661242453,-0.345860824948179,349,live,10000000,0.8377000000000001,15.594070942954016,2199.5075442693997,False,0
21,TQQQ / QQQ,0.025,0.075,3,9.86896282259114,9.33551229293495,53.34505296561894,-0.3674908208823831,-0.35652122437590833,345,live,10000000,0.8377000000000001,15.497651041443063,2117.1656847302593,False,0
22,TQQQ / QQQ,0.025,0.1,3,9.876929702278051,9.341381863079008,53.55478391990429,-0.3369898797343069,-0.3268076100970313,345,live,10000000,0.8377000000000001,15.449420959241767,1903.2861388473739,False,0
23,TQQQ / QQQ,0.025,0.015,3,9.911018988112854,9.382165109249952,52.88538788629028,-0.34396228646374194,-0.3335906327755265,342,live,10000000,0.8377000000000001,15.698968917829244,2456.4487136649595,False,0
24,TQQQ / QQQ,0.05,0.01,3,9.915692544761013,9.386716678339793,52.8975866421221,-0.3439622864637431,-0.33359063277552764,361,live,10000000,0.8377000000000001,15.702749732124799,2456.692545787182,False,0
25,TQQQ / QQQ,0.05,0.025,3,9.85670647900247,9.327154853168237,52.95516258342326,-0.34396228646374194,-0.33359063277552764,230,live,10000000,0.8377000000000001,15.592366475039555,2381.3216497934127,False,0
26,TQQQ / QQQ,0.05,0.05,3,9.970704160140125,9.438398697153033,53.23054629870911,-0.3565750661242453,-0.345860824948179,242,live,10000000,0.8377000000000001,15.691101173522878,2199.5075442693997,False,0
27,TQQQ / QQQ,0.05,0.075,3,9.911844098771645,9.378393569115456,53.345052965618954,-0.3674908208823831,-0.35652122437590833,233,live,10000000,0.8377000000000001,15.564989328799458,2121.518603371821,False,0
