date,open,high,low,close,volume
2024-08-06,31.56,33.17,28.615,32.12,3205902.0
2024-08-07,33.07,34.1399,26.6714,27.17,3205732.0
2024-08-08,29.2,31.95,28.22,31.25,2656477.0
2024-08-09,30.9,33.3,30.34,32.46,1833332.0
2024-08-12,31.83,32.9,29.78,30.98,2105667.0
2024-08-13,31.44,33.89,30.95,32.87,2090033.0
2024-08-14,33.88,34.1499,31.02,32.21,2146263.0
2024-08-15,33.0,35.17,32.31,32.64,3009602.0
2024-08-16,33.08,35.4493,32.55,35.22,2334013.0
2024-08-19,34.66,35.93,33.5425,34.93,2300038.0
2024-08-20,36.4,36.695,30.5,32.51,4597933.0
2024-08-21,32.35,35.64,31.79,35.37,2867637.0
2024-08-22,34.93,35.7,32.417,32.74,2091011.0
2024-08-23,33.5,37.13,33.18,36.92,4001692.0
2024-08-26,36.22,36.7,33.901,34.39,2328022.0
2024-08-27,33.53,33.84,31.07,32.42,2984528.0
2024-08-28,31.42,32.1572,29.02,29.8,2742678.0
2024-08-29,30.95,31.73,28.92,29.16,2070099.0
2024-08-30,29.33,29.59,26.54,27.52,3274081.0
2024-09-03,27.19,27.36,23.0,23.34,2958710.0
2024-09-04,22.64,23.27,21.02,21.68,3353493.0
2024-09-05,21.21,22.5,20.28,20.73,2974078.0
2024-09-06,21.6,21.82,17.24,17.49,4563575.0
2024-09-09,18.44,19.9,18.18,19.31,3593022.0
2024-09-10,19.32,20.34,17.9428,20.22,2907498.0
2024-09-11,18.87,20.2699,18.02,19.87,4173824.0
2024-09-12,20.22,21.9,19.56,21.24,3611411.0
2024-09-13,21.14,22.7898,20.91,21.25,3671990.0
2024-09-16,20.07,21.27,19.37,20.83,2661738.0
2024-09-17,21.6,22.41,20.6,21.1,3475151.0
2024-09-18,20.75,22.78,20.67,21.1,3626948.0
2024-09-19,23.65,24.38,22.21,22.56,5237893.0
2024-09-20,22.75,23.91,21.78,23.01,3626520.0
2024-09-23,23.35,23.94,22.638,23.06,3148275.0
2024-09-24,23.12,23.58,21.32,23.42,5530785.0
2024-09-25,23.0,24.01,22.1275,22.18,3234660.0
2024-09-26,23.09,25.98,23.0,25.57,6210493.0
2024-09-27,26.32,29.08,25.4401,28.75,7009274.0
2024-09-30,26.7,26.92,24.44,24.84,7362736.0
2024-10-01,24.92,24.92,19.7701,21.15,13616772.0
2024-10-02,20.605,22.21,20.21,20.98,6782370.0
2024-10-03,20.57,21.47,20.1901,20.64,4754374.0
2024-10-04,21.85,22.62,20.8,22.53,6453546.0
2024-10-07,22.78,23.91,21.509,22.0,6815957.0
2024-10-08,21.33,22.29,20.99,21.7,3912672.0
2024-10-09,21.63,22.92,21.17,21.51,4685637.0
2024-10-10,21.28,21.5518,20.18,20.78,5276165.0
2024-10-11,21.18,24.5,21.08,23.8,6531400.0
2024-10-14,25.2,29.56,24.33,29.2,14083139.0
2024-10-15,28.9,31.73,26.8303,29.17,14785679.0
2024-10-16,31.34,33.93,29.55,33.33,9855300.0
2024-10-17,32.85,33.04,30.41,31.32,7312544.0
2024-10-18,32.68,36.26,32.2317,36.22,7832137.0
2024-10-21,34.67,35.16,32.3001,34.12,12276273.0
2024-10-22,32.82,34.7796,32.09,33.1,5505292.0
2024-10-23,31.68,32.7856,28.08,29.49,10039567.0
2024-10-24,31.8,32.8,29.94,32.37,8022128.0
2024-10-25,32.14,33.7799,30.63,31.06,7614290.0
2024-10-28,33.69,34.98,32.87,34.44,8321028.0
2024-10-29,35.97,36.9299,34.4,35.5,9198815.0
2024-10-30,33.41,35.79,32.26,33.01,7667083.0
2024-10-31,30.52,31.18,22.73,22.82,21435925.0
