date,open,high,low,close,volume
2024-08-06,58.39,59.84,57.83,58.61,326840.0
2024-08-07,60.08,61.1389,58.98,59.03,349129.0
2024-08-08,59.44,61.69,59.43,61.59,191652.0
2024-08-09,61.54,62.3,60.6,61.72,197462.0
2024-08-12,62.44,63.19,61.74,62.4,274276.0
2024-08-13,61.2,61.52,60.59,61.18,275417.0
2024-08-14,61.39,62.4,60.95,61.84,255534.0
2024-08-15,62.58,63.69,62.48,63.4,161549.0
2024-08-16,62.46,63.44,62.36,63.18,202591.0
2024-08-19,63.34,65.04,63.34,64.01,423583.0
2024-08-20,63.82,63.82,60.575,60.7,614658.0
2024-08-21,61.32,61.95,60.48,60.72,281663.0
2024-08-22,60.85,61.6,60.62,61.07,207229.0
2024-08-23,61.72,63.0801,61.48,62.93,295340.0
2024-08-26,64.19,65.1,63.09,64.07,250478.0
2024-08-27,64.02,64.29,62.6,62.86,134001.0
2024-08-28,62.21,62.75,61.5,61.96,144959.0
2024-08-29,62.66,64.03,61.5692,63.49,140419.0
2024-08-30,62.46,64.0,62.0,63.98,203820.0
2024-09-03,62.03,62.03,60.03,60.84,236063.0
2024-09-04,60.88,61.69,58.9,59.06,315139.0
2024-09-05,60.01,60.04,58.1,58.23,247128.0
2024-09-06,58.54,59.14,56.25,56.79,283536.0
2024-09-09,57.24,58.59,56.91,57.47,298820.0
2024-09-10,57.6,57.7,54.6093,55.53,400739.0
2024-09-11,55.61,55.61,52.77,54.44,584738.0
2024-09-12,54.99,55.88,54.1,55.45,532005.0
2024-09-13,55.89,56.8899,55.72,56.0,452372.0
2024-09-16,57.01,58.04,56.46,57.3,401000.0
2024-09-17,57.32,58.93,57.09,58.85,333309.0
2024-09-18,58.765,60.46,58.54,59.15,722260.0
2024-09-19,60.79,61.8,59.8416,60.5,518674.0
2024-09-20,59.88,60.44,58.84,60.15,321946.0
2024-09-23,60.41,62.24,60.0,61.63,519409.0
2024-09-24,62.49,62.59,60.76,60.85,377586.0
2024-09-25,60.74,60.94,58.285,58.55,456664.0
2024-09-26,56.2,57.6896,55.87,56.24,497293.0
2024-09-27,56.72,58.63,56.72,58.4,430182.0
2024-09-30,58.19,59.49,57.58,59.31,314016.0
2024-10-01,58.44,62.47,58.08,61.96,1158608.0
2024-10-02,63.73,64.0212,61.89,63.3,935379.0
2024-10-03,63.64,65.6299,62.73,65.49,1040970.0
2024-10-04,66.5,67.0454,65.3273,66.69,537213.0
2024-10-07,67.07,68.1199,66.6603,67.21,450462.0
2024-10-08,65.41,65.6,62.95,63.54,818490.0
2024-10-09,62.62,64.61,62.37,64.3,672413.0
2024-10-10,65.11,65.9161,64.17,65.3,360964.0
2024-10-11,65.26,66.4001,65.07,65.91,283206.0
2024-10-14,65.09,66.08,64.8501,65.78,242900.0
2024-10-15,62.4,63.24,61.6,61.76,652269.0
2024-10-16,62.28,62.64,61.95,62.26,292827.0
2024-10-17,62.36,63.2157,62.11,62.93,252731.0
2024-10-18,62.54,62.92,61.51,62.4,439049.0
2024-10-21,63.12,63.6,61.8,62.12,339133.0
2024-10-22,62.51,62.8398,61.82,62.33,260942.0
2024-10-23,61.93,62.37,60.9,61.61,228533.0
2024-10-24,61.91,62.21,60.765,61.54,206138.0
2024-10-25,62.26,62.55,61.2011,61.5,263303.0
2024-10-28,58.98,60.79,58.7515,60.79,346119.0
2024-10-29,60.5,60.51,58.61,58.97,441246.0
2024-10-30,59.31,60.0187,58.8,59.05,406518.0
2024-10-31,59.89,60.74,59.52,59.82,442460.0
2024-11-01,61.37,61.85,58.85,58.97,507797.0
