date,open,high,low,close,volume
2024-08-06,15.3467,16.4133,14.3967,15.38,95179746.0
2024-08-07,16.5033,16.7667,13.7733,13.81,93232521.0
2024-08-08,14.7067,15.6758,13.4433,15.5667,84661419.0
2024-08-09,15.7,15.9927,15.0567,15.4133,58458072.0
2024-08-12,15.9,17.2933,15.8967,16.7067,87458418.0
2024-08-13,17.74,18.8967,17.4735,18.8867,84575076.0
2024-08-14,19.6267,19.6767,18.1933,19.4733,91958226.0
2024-08-15,19.7167,21.1867,19.2852,21.0367,73554921.0
2024-08-16,20.67,21.7567,20.44,21.5833,71287776.0
2024-08-19,21.5267,23.4667,21.2,23.4567,77174232.0
2024-08-20,22.8967,23.4133,21.97,22.46,76120773.0
2024-08-21,22.4967,23.2033,22.2533,22.86,55353129.0
2024-08-22,23.46,23.6976,20.97,21.22,82731834.0
2024-08-23,21.9,23.1667,21.69,23.0667,68757186.0
2024-08-26,23.18,23.7633,21.3333,22.05,73430307.0
2024-08-27,21.56,22.9933,21.14,22.6867,61043478.0
2024-08-28,22.5767,22.6667,20.69,21.72,112310463.0
2024-08-29,20.2233,21.3,18.6667,18.9167,102291726.0
2024-08-30,19.51,20.2167,18.76,19.4633,56829312.0
2024-09-03,18.3433,18.4133,15.5235,15.77,110914641.0
2024-09-04,14.9767,16.3367,14.63,15.23,80779884.0
2024-09-05,14.8733,16.1992,14.8,15.49,70304337.0
2024-09-06,15.7333,15.7566,13.6933,14.2367,84257643.0
2024-09-09,14.77,15.2467,14.4533,15.2267,50632932.0
2024-09-10,15.6533,16.07,14.79,15.6667,57178062.0
2024-09-11,16.0567,18.29,15.4833,18.2,111862245.0
2024-09-12,18.23,19.4133,17.7333,18.9233,102294081.0
2024-09-13,18.84,19.1433,18.3933,18.86,51319473.0
2024-09-16,18.12,18.5733,17.3467,18.1067,46793280.0
2024-09-17,18.5667,18.75,17.5167,17.7467,45186246.0
2024-09-18,17.83,18.3933,17.0233,17.0567,61715025.0
2024-09-19,18.25,18.9522,18.21,18.4367,56979414.0
2024-09-20,18.12,18.6154,17.6167,17.8333,45623955.0
2024-09-23,17.9633,18.1033,17.4567,17.88,41404659.0
2024-09-24,17.9033,19.5633,17.6,19.29,76765146.0
2024-09-25,19.65,20.57,19.5167,20.1233,73680180.0
2024-09-26,21.17,21.4586,19.5467,20.2633,84535968.0
2024-09-27,20.21,20.2333,18.7067,19.3767,62183331.0
2024-09-30,18.39,19.4071,18.35,19.3967,42287664.0
2024-10-01,19.5133,19.7008,17.5933,17.96,56191584.0
2024-10-02,17.78,18.6933,17.4,18.5267,44272731.0
2024-10-03,19.17,20.2525,18.9933,19.7633,61617927.0
2024-10-04,20.4233,20.4533,19.4467,20.4067,52884711.0
2024-10-07,20.43,22.2683,20.43,21.33,81955050.0
2024-10-08,22.2,23.2467,21.89,23.05,69314502.0
2024-10-09,23.4867,23.6067,22.51,22.9333,57813564.0
2024-10-10,22.68,23.76,22.48,23.68,58384323.0
2024-10-11,23.3733,24.0,23.2567,23.6467,40740654.0
2024-10-14,24.2,25.3333,24.1767,24.8333,51491085.0
2024-10-15,24.7033,24.9684,21.4333,22.4767,87216885.0
2024-10-16,23.2667,24.1667,22.4567,23.8533,56720349.0
2024-10-17,25.1167,25.6545,24.2433,24.2767,70338654.0
2024-10-18,24.8967,24.9233,24.38,24.62,36299091.0
2024-10-21,24.68,26.65,24.6367,26.65,76586181.0
2024-10-22,26.38,26.9133,25.94,26.6,50523915.0
2024-10-23,26.0167,26.1667,24.33,25.1067,72363018.0
2024-10-24,25.56,25.7333,24.7033,25.3833,39943242.0
2024-10-25,25.5717,26.7133,25.5167,25.7633,64296222.0
2024-10-28,26.3233,26.3533,25.2333,25.4233,40027656.0
2024-10-29,25.31,26.0133,24.8033,25.6767,39365703.0
2024-10-30,25.0,25.3033,24.04,24.99,41915280.0
2024-10-31,24.3167,24.3167,22.3567,22.5867,64435857.0
2024-11-01,23.2267,24.11,23.18,23.46,42880446.0
2024-11-04,24.1,24.6862,23.5133,23.6933,43683450.0
2024-11-05,24.1833,25.1833,24.13,24.99,36403761.0
2024-11-06,26.13,27.3533,25.74,27.01,58501302.0
2024-11-07,27.3267,28.25,27.2467,28.23,43067091.0
2024-11-08,28.1667,28.55,27.2133,27.73,44365317.0
2024-11-11,28.1333,28.1367,26.22,26.86,45207966.0
2024-11-12,27.3967,28.4467,27.12,27.97,50758284.0
2024-11-13,28.2333,28.3367,27.0533,27.2533,38202042.0
2024-11-14,27.67,28.1867,26.9067,27.37,37551753.0
2024-11-15,26.6667,26.7533,24.8569,25.56,53843001.0
2024-11-18,24.6533,25.3833,23.8033,24.8933,47771010.0
2024-11-19,25.27,27.3433,25.1667,27.3,47536824.0
2024-11-20,27.4567,27.4567,25.7133,26.86,75220653.0
2024-11-21,28.1067,29.4367,24.9617,27.14,113485176.0
2024-11-22,26.8467,27.3,25.07,25.3633,57248223.0
2024-11-25,25.3633,25.4,23.1867,23.23,66432471.0
2024-11-26,23.8067,24.3567,23.1167,23.54,32999823.0
2024-11-27,22.8767,22.9958,21.8133,22.9933,53636346.0
2024-11-29,23.4467,24.32,23.1934,23.9633,30965949.0
2024-12-02,24.1167,24.7067,23.79,24.0533,36571644.0
2024-12-03,23.9433,24.7233,23.8233,24.6,26993571.0
2024-12-04,25.2433,26.5483,24.6267,26.3067,48492330.0
2024-12-05,26.3067,26.8267,25.8921,26.2567,31553571.0
2024-12-06,26.0933,26.4933,24.91,25.3133,37269294.0
2024-12-09,24.0733,24.4225,23.4333,24.0267,42017454.0
2024-12-10,24.0667,25.0413,22.29,22.72,45515937.0
2024-12-11,23.4833,24.4133,22.7633,24.12,40691595.0
2024-12-12,23.38,23.8067,22.9067,23.43,32701962.0
2024-12-13,23.9567,24.1833,21.7833,22.3533,58386987.0
2024-12-16,22.32,22.3933,21.0833,21.61,61216554.0
2024-12-17,20.65,21.46,19.9233,21.0633,68725350.0
2024-12-18,22.19,23.1,20.3833,20.5633,89849982.0
2024-12-19,21.4417,22.21,20.78,21.1233,57247956.0
2024-12-20,20.8433,22.6,20.3133,22.4933,65618250.0
2024-12-23,22.94,24.06,22.5468,24.04,54415029.0
2024-12-24,24.1633,24.81,23.7,24.23,33573606.0
2024-12-26,24.0167,24.4333,23.3577,24.0967,30068007.0
2024-12-27,23.6133,23.7717,22.3,23.1233,39730326.0
2024-12-30,22.3467,24.1733,22.0833,23.21,41818401.0
2024-12-31,23.38,23.4263,21.9867,22.13,35668266.0
2025-01-02,22.67,23.6334,22.2403,23.4333,42140187.0
2025-01-03,23.9933,25.6585,23.9333,25.56,55109340.0
2025-01-06,26.95,28.2166,26.6834,27.28,61054293.0
2025-01-07,28.56,28.6067,23.8133,23.9033,96697968.0
2025-01-08,24.6967,25.1533,23.09,23.8467,55642002.0
2025-01-10,22.9067,22.97,21.8167,22.3867,48844164.0
2025-01-13,20.43,21.5667,20.2833,21.5067,52537542.0
2025-01-14,22.3933,22.5,20.4633,21.0367,52407270.0
2025-01-15,21.63,22.4767,20.8633,22.4067,41000277.0
2025-01-16,23.1983,23.2233,21.5167,21.5333,43053039.0
2025-01-17,22.4733,23.0988,22.1283,22.86,36925221.0
2025-01-21,23.33,24.2,22.6333,23.86,39896337.0
2025-01-22,25.1733,26.2133,24.8467,25.9567,52509159.0
2025-01-23,25.23,26.0,24.78,25.9867,30990351.0
2025-01-24,26.39,26.6058,24.1133,24.37,49267290.0
2025-01-27,18.3067,19.5166,15.53,16.1367,275820768.0
2025-01-28,17.0133,18.96,15.5167,18.96,161749398.0
2025-01-29,18.2333,18.3333,16.3499,17.43,135274833.0
2025-01-30,17.2233,17.7467,15.84,17.6067,130217211.0
2025-01-31,17.42,18.55,16.1067,16.3433,142255977.0
2025-02-03,14.9067,15.9367,14.4408,15.4133,113324910.0
2025-02-04,15.5033,16.6133,15.4233,15.95,73674159.0
2025-02-05,16.7733,17.62,16.4933,17.62,95812104.0
2025-02-06,18.32,18.6667,17.6999,18.6433,82082277.0
2025-02-07,18.7967,19.1333,18.3267,18.9667,69140685.0
2025-02-10,19.0367,20.48,19.0133,20.0367,61218672.0
2025-02-11,19.7333,20.33,19.2934,19.8233,46163760.0
2025-02-12,19.0,19.6533,18.7067,19.3,47837040.0
2025-02-13,19.42,20.8967,19.33,20.5033,51202233.0
2025-02-14,20.85,21.6833,20.6,21.5533,78947964.0
2025-02-18,22.3233,23.0,21.2967,21.7233,56546478.0
2025-02-19,21.7733,22.35,21.0633,21.6933,40862010.0
2025-02-20,21.9367,22.0966,20.92,21.9367,39813534.0
2025-02-21,21.9,22.3511,20.0333,20.1233,54090810.0
2025-02-24,20.86,21.3867,18.8533,18.8867,63406590.0
2025-02-25,18.8067,18.8766,17.2167,17.8333,67335597.0
2025-02-26,18.765,19.83,18.3567,19.2133,104467920.0
2025-02-27,20.2117,20.2267,15.8733,15.92,139887318.0
2025-02-28,15.3133,17.1667,14.8867,17.1467,93434016.0
2025-03-03,16.7467,16.79,13.67,14.18,128120673.0
2025-03-04,13.3167,15.4467,13.1739,14.6233,124192638.0
2025-03-05,15.02,15.194,14.2469,14.9633,72903327.0
2025-03-06,13.97,14.45,13.1367,13.2333,80124453.0
2025-03-07,13.3767,13.9084,12.5,13.7267,94996602.0
2025-03-10,13.03,13.51,11.9533,12.3267,99555099.0
2025-03-11,12.3233,13.54,11.8167,12.69,92304519.0
2025-03-12,13.9933,14.6,13.6933,14.3533,101522517.0
2025-03-13,14.6733,14.8567,13.88,14.3567,77088576.0
2025-03-14,15.0567,15.8567,14.94,15.7633,69715542.0
2025-03-17,16.0767,16.1161,14.8533,15.2367,73654812.0
2025-03-18,14.8567,15.1067,13.97,14.2267,86044779.0
2025-03-19,14.64,15.42,14.25,14.6833,71079315.0
2025-03-20,14.44,15.36,14.4333,14.9333,74588235.0
2025-03-21,14.5233,14.7949,14.1433,14.7067,48018189.0
2025-03-24,15.2517,15.8417,15.1267,15.5933,58842429.0
2025-03-25,15.415,15.5983,14.9967,15.4333,34704357.0
2025-03-26,14.934,14.9666,13.41,13.6567,78130074.0
2025-03-27,13.0767,13.8298,12.9267,13.1,53141973.0
2025-03-28,13.1167,13.4233,12.54,12.6667,48731217.0
2025-03-31,11.6167,12.5,11.2767,12.4667,66713277.0
2025-04-01,12.4,12.7729,11.93,12.7533,51513984.0
2025-04-02,12.1,13.1833,11.9833,12.7933,55769502.0
2025-04-03,11.22,11.7033,10.7667,10.8167,68803578.0
2025-04-04,10.1867,10.4433,8.7467,9.22,114089565.0
2025-04-07,7.8833,10.6667,7.7077,9.8667,192265278.0
2025-04-08,11.0967,11.5096,9.2144,9.6667,130217658.0
2025-04-09,10.0933,13.3167,9.8667,13.1333,179727414.0
2025-04-10,12.0067,12.3567,10.565,11.6267,114353535.0
2025-04-11,11.7967,12.4299,11.5725,12.2467,82538436.0
2025-04-14,13.0367,13.0599,11.8967,12.25,73810656.0
2025-04-15,12.3167,12.895,12.21,12.5633,68770422.0
2025-04-16,10.8567,11.37,9.9417,10.85,112260297.0
2025-04-17,10.82,10.825,9.9167,10.2,74540454.0
2025-04-21,9.6633,9.79,8.9183,9.2667,67553640.0
2025-04-22,9.64,9.84,9.3567,9.66,57446289.0
2025-04-23,10.7567,10.8133,10.2704,10.36,64964475.0
2025-04-24,10.55,11.17,10.4867,11.14,56014293.0
2025-04-25,11.23,12.2867,10.9833,12.0767,69994563.0
2025-04-28,11.81,11.9488,11.01,11.5833,55169034.0
2025-04-29,11.37,11.8893,11.33,11.6333,45412125.0
2025-04-30,10.6733,11.6133,10.5833,11.5667,58398345.0
2025-05-01,12.5133,12.9033,12.1367,12.1733,64417968.0
2025-05-02,12.7433,13.0033,12.5673,12.78,52161957.0
2025-05-05,12.45,12.845,12.4033,12.6433,31921800.0
2025-05-06,12.1267,12.8533,11.9867,12.5633,38835909.0
2025-05-07,12.4733,13.5,12.305,13.3567,53578302.0
