date,open,high,low,close,volume
2024-08-06,35.42,37.595,34.4604,36.14,25419371.0
2024-08-07,37.93,37.99,34.6,34.86,22148369.0
2024-08-08,36.03,37.38,35.42,37.31,16871862.0
2024-08-09,37.42,37.43,36.25,37.05,13712163.0
2024-08-12,37.15,37.35,35.66,36.11,13008568.0
2024-08-13,36.84,38.0483,36.21,37.81,18693054.0
2024-08-14,38.21,38.26,36.62,37.12,19297047.0
2024-08-15,39.54,40.54,38.84,39.97,18161560.0
2024-08-16,39.61,41.04,39.54,40.26,13851906.0
2024-08-19,40.47,41.73,40.36,41.71,12129681.0
2024-08-20,41.54,41.57,39.874,40.28,12577142.0
2024-08-21,41.1,41.9099,40.29,41.78,14239252.0
2024-08-22,41.86,42.32,40.41,40.68,13300926.0
2024-08-23,41.58,44.94,41.34,44.49,28399773.0
2024-08-26,45.49,45.81,44.34,44.58,18831173.0
2024-08-27,43.62,43.91,42.89,43.54,11765051.0
2024-08-28,43.0,43.73,42.03,42.67,12324116.0
2024-08-29,43.51,44.79,42.55,43.52,15916704.0
2024-08-30,43.99,44.47,42.63,44.21,15584166.0
2024-09-03,43.02,43.79,39.86,40.16,17630737.0
2024-09-04,39.8,41.27,39.21,39.92,13880366.0
2024-09-05,40.24,40.52,38.77,39.31,14824270.0
2024-09-06,39.29,40.0,36.62,37.05,21474359.0
2024-09-09,37.16,38.27,36.83,37.34,11826519.0
2024-09-10,37.44,37.53,35.9,37.26,14008306.0
2024-09-11,36.71,37.73,35.03,37.52,19590816.0
2024-09-12,38.05,39.58,37.25,38.96,14664814.0
2024-09-13,40.25,42.04,40.23,41.81,17966605.0
2024-09-16,42.25,42.65,41.4,42.29,13270293.0
2024-09-17,43.35,44.67,42.73,43.22,17276686.0
2024-09-18,43.16,46.53,42.59,43.26,35087117.0
2024-09-19,46.4,46.4,44.51,45.93,22934840.0
2024-09-20,45.51,45.53,44.255,44.5,14399562.0
2024-09-23,45.08,45.36,43.52,43.96,12979945.0
2024-09-24,44.34,44.585,43.16,44.1,11893090.0
2024-09-25,44.0,44.22,42.42,42.54,14746847.0
2024-09-26,44.1,44.48,42.87,43.12,14488792.0
2024-09-27,44.29,45.3044,43.5112,43.96,15578323.0
2024-09-30,43.41,44.71,42.925,44.34,12617019.0
2024-10-01,43.86,43.95,41.54,42.45,14760396.0
2024-10-02,41.94,42.96,41.48,42.28,8840186.0
2024-10-03,41.48,42.05,40.83,41.4,13549137.0
2024-10-04,43.17,43.59,42.07,43.13,14870297.0
2024-10-07,42.8,42.81,41.1771,42.09,11990994.0
2024-10-08,42.17,42.595,41.66,42.17,9841346.0
2024-10-09,42.1,43.3,41.77,42.44,10270202.0
2024-10-10,41.14,41.72,40.41,41.68,12885670.0
2024-10-11,41.66,44.38,41.6,44.23,11793350.0
2024-10-14,44.32,45.3,43.701,45.22,11935163.0
2024-10-15,44.94,46.73,44.61,45.24,15703883.0
2024-10-16,46.36,47.7399,46.07,47.45,10742871.0
2024-10-17,47.61,47.61,46.34,47.05,10320642.0
2024-10-18,47.39,47.6,46.58,46.73,8869185.0
2024-10-21,46.7,46.78,44.21,44.51,11610875.0
2024-10-22,44.12,44.3599,43.44,43.99,7813232.0
2024-10-23,43.26,43.7306,41.72,42.84,11963549.0
