date,open,high,low,close,volume
2024-08-06,27.065,28.875,26.57,27.48,192909324.0
2024-08-07,28.785,29.255,26.5,26.595,182751646.0
2024-08-08,27.725,29.175,27.005,29.03,152879254.0
2024-08-09,28.72,29.765,28.5,29.425,125592372.0
2024-08-12,29.615,30.2,29.0573,29.625,108972640.0
2024-08-13,30.48,31.855,30.45,31.78,108962868.0
2024-08-14,31.995,32.3185,30.935,31.835,124710578.0
2024-08-15,33.065,34.315,32.9938,34.23,106424860.0
2024-08-16,33.81,34.6275,33.595,34.32,89675150.0
2024-08-19,34.34,35.675,33.9425,35.65,91599848.0
2024-08-20,35.45,36.03,35.045,35.43,97858954.0
2024-08-21,35.59,36.33,35.2101,35.915,103000714.0
2024-08-22,36.43,36.58,33.96,34.19,127496478.0
2024-08-23,35.1,35.86,34.25,35.265,128753292.0
2024-08-26,35.135,35.335,33.765,34.23,84981306.0
2024-08-27,33.865,34.75,33.425,34.52,71532590.0
2024-08-28,34.4,34.56,32.578,33.35,118625800.0
2024-08-29,33.725,34.715,32.895,33.175,120033658.0
2024-08-30,34.06,34.435,33.09,34.305,92946774.0
2024-09-03,33.63,33.66,30.646,31.175,147572554.0
2024-09-04,30.52,31.685,30.325,30.91,96798378.0
2024-09-05,30.57,31.8597,30.36,31.01,110171514.0
2024-09-06,30.805,30.985,28.3601,28.495,169904608.0
2024-09-09,29.285,29.7425,28.6675,29.555,110834928.0
2024-09-10,29.89,30.4575,29.1,30.35,91582410.0
2024-09-11,30.59,32.475,28.885,32.285,163475182.0
2024-09-12,32.315,33.445,31.945,33.24,110347038.0
2024-09-13,33.075,33.935,33.025,33.675,87966588.0
2024-09-16,33.21,33.355,32.5125,33.225,82331074.0
2024-09-17,33.85,34.13,32.735,33.245,103114458.0
2024-09-18,33.51,34.38,32.695,32.81,166396194.0
2024-09-19,35.15,35.9,34.7059,35.29,114801338.0
2024-09-20,35.075,35.34,34.155,35.065,96759568.0
2024-09-23,35.31,35.575,35.02,35.325,69837040.0
2024-09-24,35.64,36.045,34.69,35.825,81259516.0
2024-09-25,35.57,36.245,35.5295,35.835,64724882.0
2024-09-26,37.46,37.535,35.79,36.595,107003156.0
2024-09-27,36.81,36.83,35.695,35.965,82930684.0
2024-09-30,35.73,36.31,35.09,36.245,86333904.0
2024-10-01,36.14,36.215,33.85,34.71,134760172.0
2024-10-02,34.505,35.2688,33.935,34.84,79119354.0
2024-10-03,34.365,35.4042,34.195,34.76,97749434.0
2024-10-04,36.0,36.08,34.89,35.985,110930020.0
2024-10-07,35.525,35.79,34.529,34.8,82403436.0
2024-10-08,35.33,36.49,35.155,36.31,77914080.0
2024-10-09,36.26,37.315,36.03,37.185,78696266.0
2024-10-10,36.66,37.475,36.36,37.055,86060594.0
2024-10-11,36.585,37.4,36.45,37.15,70735230.0
2024-10-14,37.72,38.41,37.605,38.1,67691268.0
2024-10-15,38.175,38.325,36.07,36.58,106307692.0
2024-10-16,36.62,36.745,35.835,36.56,70784194.0
2024-10-17,37.79,37.8,36.625,36.67,97697702.0
2024-10-18,37.23,37.575,37.065,37.32,64151696.0
2024-10-21,37.03,37.7105,36.59,37.525,74995728.0
2024-10-22,36.9025,37.975,36.7275,37.635,76307982.0
2024-10-23,37.085,37.235,35.14,35.895,118172136.0
2024-10-24,36.71,36.9,36.12,36.75,78612740.0
2024-10-25,37.35,38.5,37.195,37.37,114826048.0
2024-10-28,38.095,38.095,37.33,37.405,69162280.0
2024-10-29,37.465,38.7275,37.035,38.44,78545158.0
2024-10-30,38.275,38.49,37.47,37.585,80473128.0
2024-10-31,36.655,36.665,34.715,34.725,138905118.0
2024-11-01,35.04,36.18,34.985,35.465,96678886.0
2024-11-04,35.32,35.8775,34.755,35.135,82214360.0
2024-11-05,35.475,36.62,35.4575,36.47,79352532.0
2024-11-06,38.33,39.6101,38.0971,39.43,118794134.0
2024-11-07,40.08,41.465,40.05,41.275,99545196.0
2024-11-08,41.11,41.555,40.955,41.375,70059902.0
2024-11-11,41.665,41.7168,40.59,41.3,70806070.0
2024-11-12,41.27,41.485,40.325,41.075,68286050.0
2024-11-13,40.93,41.5451,40.34,40.895,74989078.0
2024-11-14,40.795,41.015,39.81,40.03,77651310.0
2024-11-15,38.635,38.725,36.645,37.135,120601530.0
2024-11-18,37.465,38.37,37.155,37.885,77965234.0
2024-11-19,37.275,38.775,37.21,38.645,80088274.0
2024-11-20,38.575,38.645,37.055,38.6,101260638.0
2024-11-21,39.275,39.44,37.28,38.98,109865534.0
2024-11-22,38.82,39.305,38.44,39.125,79934878.0
2024-11-25,40.08,40.435,38.77,39.305,91515710.0
2024-11-26,39.645,40.125,39.445,39.915,69747198.0
2024-11-27,39.645,39.655,38.1661,38.95,78463646.0
2024-11-29,39.065,40.0845,38.9251,39.945,40865722.0
2024-12-02,40.24,41.4731,40.145,41.24,73638182.0
2024-12-03,40.9,41.665,40.765,41.605,84810878.0
2024-12-04,42.435,43.185,42.2574,43.125,69992560.0
2024-12-05,43.125,43.32,42.67,42.77,54020404.0
2024-12-06,42.89,43.9325,42.86,43.87,62740678.0
2024-12-09,43.625,43.8312,42.54,42.845,69577502.0
2024-12-10,43.125,43.56,42.0261,42.38,71541554.0
2024-12-11,43.44,44.81,43.34,44.645,74897892.0
2024-12-12,44.065,44.385,43.6409,43.76,66348304.0
2024-12-13,44.71,45.385,43.925,44.7,79663694.0
2024-12-16,45.36,46.8946,45.335,46.645,69967688.0
2024-12-17,46.165,46.4549,45.585,46.02,69168160.0
2024-12-18,45.825,46.2837,40.645,41.045,134849156.0
2024-12-19,42.135,42.2653,40.375,40.465,113317588.0
2024-12-20,39.53,42.93,39.25,41.515,145240944.0
2024-12-23,41.725,42.62,40.915,42.53,83645744.0
2024-12-24,42.975,44.24,42.82,44.22,48139548.0
2024-12-26,43.81,44.54,43.2955,44.125,59604796.0
2024-12-27,43.185,43.2925,41.14,42.33,102138978.0
2024-12-30,40.6,41.53,39.7063,40.63,102844068.0
