date,open,high,low,close,volume
2024-08-06,8.74,8.91,8.03,8.7,46647105.0
2024-08-07,8.73,8.96,7.92,7.95,46694597.0
2024-08-08,8.28,8.68,7.96,8.55,34920553.0
2024-08-09,8.36,8.69,8.2,8.62,27689278.0
2024-08-12,8.53,8.54,8.15,8.4,33903499.0
2024-08-13,8.48,9.33,8.365,9.29,45218799.0
2024-08-14,9.24,9.32,8.46,8.7,48779190.0
2024-08-15,9.0,9.94,8.99,9.79,46324005.0
2024-08-16,9.51,10.3,9.47,9.97,40909825.0
2024-08-19,10.055,10.59,9.7703,10.57,44893431.0
2024-08-20,10.77,11.08,10.261,10.41,37809627.0
2024-08-21,10.55,10.7388,10.195,10.61,31392169.0
2024-08-22,10.67,10.75,9.39,9.42,42338346.0
2024-08-23,9.74,10.36,9.714,10.25,35718796.0
2024-08-26,10.1,10.1392,9.39,9.6,30974808.0
2024-08-27,9.58,9.81,9.02,9.23,31716310.0
2024-08-28,9.26,9.46,8.645,8.91,36560025.0
2024-08-29,9.26,9.709,8.935,8.96,37458476.0
2024-08-30,9.16,9.6698,9.02,9.63,32274018.0
2024-09-03,9.74,10.1495,9.22,9.32,53624718.0
2024-09-04,9.31,10.33,9.31,10.09,43138889.0
2024-09-05,10.46,11.5195,10.35,11.07,75476296.0
2024-09-06,11.3,11.39,9.2,9.2,74391647.0
2024-09-09,9.68,9.99,9.4488,9.69,37633294.0
2024-09-10,10.0,10.5788,9.8802,10.55,56426130.0
2024-09-11,10.4,10.76,9.68,10.73,59047103.0
2024-09-12,10.41,11.04,10.3245,10.89,56090828.0
2024-09-13,10.71,11.15,10.55,10.91,45230570.0
2024-09-16,10.83,10.89,10.285,10.59,40016270.0
2024-09-17,10.84,11.31,10.5601,10.68,46663412.0
2024-09-18,10.89,11.41,10.59,10.62,61171661.0
2024-09-19,11.25,12.2,11.09,12.18,60913626.0
2024-09-20,11.93,12.175,11.37,11.61,49045803.0
2024-09-23,12.02,12.75,11.95,12.73,48006214.0
2024-09-24,13.09,13.39,12.58,13.1,59551838.0
2024-09-25,12.91,13.375,12.8801,13.37,35593897.0
2024-09-26,13.74,13.8599,12.8,13.07,53364442.0
2024-09-27,13.39,13.73,13.06,13.71,39262743.0
2024-09-30,13.55,14.17,13.21,13.82,58780640.0
2024-10-01,13.94,14.07,12.44,13.45,77216856.0
2024-10-02,12.36,12.73,11.72,12.51,73330540.0
2024-10-03,12.05,12.58,11.38,11.67,58906147.0
2024-10-04,12.235,12.65,12.03,12.54,68793447.0
2024-10-07,12.45,12.53,11.63,11.64,57280505.0
2024-10-08,11.9,12.15,11.61,11.99,39184035.0
2024-10-09,11.91,12.2654,11.495,11.65,53057097.0
2024-10-10,11.73,11.8,10.8,11.41,71977475.0
2024-10-11,9.63,9.94,9.1001,9.4,120684265.0
2024-10-14,9.605,9.75,9.05,9.52,76721963.0
2024-10-15,9.6,9.95,9.3301,9.55,52979496.0
2024-10-16,9.7,9.82,9.495,9.69,40169754.0
2024-10-17,9.71,9.7598,9.4,9.65,36254360.0
2024-10-18,9.62,9.7699,9.505,9.62,31839358.0
2024-10-21,9.47,9.605,9.1912,9.47,34801680.0
2024-10-22,9.31,9.406,9.15,9.38,40530324.0
2024-10-23,9.3,9.44,8.88,9.01,79683957.0
2024-10-24,11.6198,13.09,11.45,12.95,152619769.0
2024-10-25,12.5,13.8399,12.43,13.8,137892016.0
2024-10-28,13.89,14.2498,13.1,13.13,83660958.0
2024-10-29,13.32,13.37,12.42,12.81,55280150.0
2024-10-30,12.66,13.19,12.45,12.62,45850139.0
2024-10-31,12.67,12.83,11.81,11.86,49150219.0
2024-11-01,12.06,12.245,11.55,11.77,42687378.0
2024-11-04,11.34,11.76,10.81,11.2,55989370.0
2024-11-05,11.595,12.325,11.5,11.98,50971764.0
2024-11-06,15.135,15.6,14.27,15.49,163866938.0
2024-11-07,15.53,16.7,15.18,16.39,91208148.0
2024-11-08,16.63,19.88,16.46,19.06,188360941.0
2024-11-11,22.06,23.5,20.8,22.5,181439290.0
2024-11-12,21.5,21.92,19.05,19.71,143549211.0
2024-11-13,20.61,21.63,19.0,19.92,104270964.0
2024-11-14,19.6,19.88,17.52,17.61,91171045.0
2024-11-15,17.56,19.12,17.38,18.71,89744931.0
2024-11-18,21.0,21.9,19.74,20.77,115411066.0
2024-11-19,20.4,21.81,20.03,21.62,67574189.0
2024-11-20,21.54,21.71,20.1764,21.14,52221300.0
2024-11-21,21.355,21.86,20.305,20.83,47486094.0
2024-11-22,21.0,22.9,20.59,22.43,63843443.0
2024-11-25,23.41,23.59,20.5979,20.63,74180184.0
2024-11-26,20.91,21.64,20.26,20.58,40477697.0
2024-11-27,21.01,21.08,19.16,19.92,39086210.0
2024-11-29,20.29,21.385,20.13,21.36,23420938.0
2024-12-02,22.28,23.2052,22.11,22.83,55153843.0
2024-12-03,22.13,22.65,21.6988,22.11,34753453.0
2024-12-04,22.32,22.94,21.75,22.9,31752162.0
2024-12-05,23.17,25.15,23.1267,24.39,56989403.0
2024-12-06,25.43,26.9953,24.555,26.99,53759299.0
2024-12-09,28.16,29.13,25.41,27.08,75536013.0
2024-12-10,27.44,29.81,27.18,28.59,67066712.0
2024-12-11,29.84,31.98,28.79,31.98,62276124.0
2024-12-12,31.67,32.36,30.18,30.62,56835818.0
2024-12-13,30.93,33.29,30.2787,33.28,54483679.0
2024-12-16,34.03,37.38,33.26,37.38,75136608.0
2024-12-17,39.46,40.75,36.48,40.09,101115688.0
2024-12-18,37.82,41.5,31.22,33.55,117276123.0
2024-12-19,35.22,35.88,30.34,32.8,105188668.0
2024-12-20,31.18,34.4199,30.0,30.48,106976532.0
2024-12-23,31.81,32.3,29.54,31.85,55161502.0
2024-12-24,32.51,36.425,32.4,36.42,42293980.0
2024-12-26,36.82,36.86,34.58,35.08,56064517.0
2024-12-27,34.3,34.38,30.7961,31.6,64439707.0
2024-12-30,29.75,30.88,29.245,29.5,48705865.0
2024-12-31,30.39,30.95,27.23,27.53,61952619.0
2025-01-02,25.7,26.0,23.36,24.19,106808976.0
2025-01-03,24.44,28.31,24.2,28.17,69865184.0
2025-01-06,29.87,30.33,26.9231,28.22,76940270.0
2025-01-07,27.47,28.64,25.3,25.94,75185892.0
2025-01-08,25.72,26.95,24.97,25.98,56871319.0
2025-01-10,25.46,26.48,24.53,25.92,50826042.0
2025-01-13,24.38,27.06,23.98,27.0,56773041.0
2025-01-14,28.51,29.5901,25.83,26.1,82697762.0
2025-01-15,27.84,30.4565,27.2896,30.22,69815570.0
2025-01-16,29.56,29.6,27.56,28.19,60853398.0
2025-01-17,29.26,31.69,28.99,29.91,71306525.0
2025-01-21,30.77,30.8,27.075,29.53,75056980.0
2025-01-22,28.55,30.08,28.22,28.3,47021646.0
2025-01-23,28.41,29.02,27.44,27.9,35893494.0
2025-01-24,28.16,28.63,26.99,27.09,37471635.0
2025-01-27,25.47,27.08,24.74,25.82,51214114.0
2025-01-28,25.78,26.26,24.43,25.94,32189892.0
2025-01-29,25.55,25.98,24.16,24.73,59811499.0
2025-01-30,27.49,27.71,24.15,26.18,84021920.0
2025-01-31,26.32,28.72,26.295,26.7,65673876.0
2025-02-03,24.33,24.65,22.7148,23.96,82723247.0
2025-02-04,23.79,25.185,23.64,24.97,44218134.0
2025-02-05,24.34,24.49,22.86,23.2,52872189.0
2025-02-06,22.56,22.84,21.349,22.71,68742598.0
2025-02-07,22.18,23.43,21.0,21.13,72056034.0
2025-02-10,20.5,21.26,19.835,19.87,76432834.0
2025-02-11,19.3,19.7,16.96,17.35,116566377.0
2025-02-12,17.5,19.21,17.42,18.16,117564891.0
2025-02-13,19.09,20.55,18.865,20.27,99627868.0
2025-02-14,20.765,20.9197,19.28,20.23,76090654.0
2025-02-18,20.16,20.58,19.55,20.01,52335014.0
2025-02-19,19.99,21.5,19.975,20.73,67228729.0
2025-02-20,20.85,20.92,19.28,20.01,56054089.0
2025-02-21,19.91,20.06,17.75,18.11,72766472.0
2025-02-24,18.15,18.6,16.7101,17.33,79829869.0
2025-02-25,16.97,17.0,13.85,14.41,167522528.0
2025-02-26,14.5,15.0046,13.01,13.29,118324308.0
2025-02-27,13.28,13.855,12.36,12.47,147143883.0
2025-02-28,12.22,13.47,11.71,13.45,154462661.0
2025-03-03,14.09,14.4199,12.0,12.67,154661584.0
2025-03-04,11.435,12.6199,10.62,11.53,192726747.0
2025-03-05,11.61,12.15,11.161,12.13,115536433.0
2025-03-06,11.5,11.55,10.45,10.75,134955933.0
2025-03-07,10.39,10.97,9.71,10.66,143040488.0
2025-03-10,9.84,9.915,7.22,7.38,259181129.0
2025-03-11,7.59,8.3699,7.1099,7.91,304689971.0
2025-03-12,9.08,9.39,8.65,9.14,222804469.0
2025-03-13,9.13,9.15,8.06,8.57,217497013.0
2025-03-14,9.03,9.35,8.58,9.22,160206641.0
2025-03-17,8.86,8.87,7.97,8.34,155716774.0
2025-03-18,7.66,7.7835,7.25,7.47,180768057.0
2025-03-19,7.87,8.51,7.71,8.14,151944153.0
2025-03-20,7.97,8.3,7.75,8.16,147128686.0
2025-03-21,8.08,9.08,8.04,9.04,175771629.0
2025-03-24,9.705,11.19,9.58,11.16,217485544.0
2025-03-25,11.5,11.8693,10.51,11.85,242567040.0
2025-03-26,11.41,11.59,10.09,10.55,239928984.0
2025-03-27,10.55,12.06,10.51,10.62,286687548.0
2025-03-28,10.78,10.83,9.63,9.85,200212837.0
2025-03-31,8.79,9.64,8.355,9.52,193605772.0
2025-04-01,9.86,10.865,9.5399,10.21,203060445.0
2025-04-02,9.16,11.46,8.92,11.27,369340526.0
2025-04-03,9.9,10.7789,9.59,10.03,238856624.0
2025-04-04,9.16,9.56,7.69,7.94,344299452.0
2025-04-07,6.91,8.8,6.29,7.54,472034072.0
2025-04-08,8.3,8.64,6.54,6.79,278689698.0
2025-04-09,6.975,10.019,6.92,9.86,385049541.0
2025-04-10,8.98,9.16,7.51,8.45,307438776.0
2025-04-11,8.385,8.78,7.7,8.41,196803553.0
2025-04-14,8.83,9.04,7.99,8.4,194657492.0
2025-04-15,8.255,8.84,8.0907,8.53,142887781.0
2025-04-16,8.11,8.38,7.17,7.69,148479067.0
2025-04-17,7.81,7.85,7.42,7.67,86155206.0
2025-04-21,6.96,7.06,6.49,6.78,151315164.0
2025-04-22,6.98,7.68,6.92,7.39,167851029.0
2025-04-23,8.445,8.73,7.8,8.2,233177267.0
2025-04-24,8.18,8.75,8.09,8.74,166894979.0
2025-04-25,8.91,10.59,8.76,10.45,266955347.0
2025-04-28,10.765,11.19,9.55,10.54,271906959.0
2025-04-29,10.5,11.0683,10.06,10.97,195076759.0
2025-04-30,10.06,10.4,9.3801,10.25,216924642.0
2025-05-01,10.085,10.86,10.06,10.1,165237332.0
2025-05-02,10.43,11.12,10.05,10.57,247116151.0
2025-05-05,10.38,10.4,9.64,10.06,179134242.0
2025-05-06,9.545,9.88,9.44,9.71,136167480.0
2025-05-07,9.82,9.88,9.4,9.77,125037740.0
2025-05-08,10.01,10.72,9.99,10.37,183368740.0
2025-05-09,10.76,11.98,10.74,11.34,251832219.0
2025-05-12,13.14,13.17,12.35,12.87,223941488.0
2025-05-13,12.99,14.41,12.74,14.11,306557077.0
2025-05-14,14.84,15.47,14.375,15.25,271629335.0
2025-05-15,14.62,15.13,14.13,14.82,202043133.0
2025-05-16,15.115,15.59,14.79,15.42,212165039.0
2025-05-19,14.235,14.84,13.99,14.74,185453259.0
2025-05-20,15.25,15.85,14.71,14.9,261934695.0
2025-05-21,14.945,15.19,13.88,14.07,213871969.0
2025-05-22,13.865,15.14,13.82,14.62,182700999.0
2025-05-23,14.31,14.7963,13.95,14.48,166638992.0
2025-05-27,15.15,16.54,15.15,16.46,226337833.0
2025-05-28,16.66,16.66,15.83,15.91,165322099.0
2025-05-29,16.665,16.88,15.83,16.05,148955904.0
2025-05-30,15.785,16.5,14.86,14.91,183474230.0
2025-06-02,14.71,15.1,13.83,14.64,145461156.0
2025-06-03,14.96,15.71,14.66,14.77,150395975.0
2025-06-04,14.84,14.87,13.31,13.72,195370398.0
2025-06-05,12.92,13.08,8.86,9.81,557652597.0
2025-06-06,10.77,11.22,10.24,10.5,305675276.0
2025-06-09,9.855,11.55,9.56,11.46,257849592.0
2025-06-10,11.935,12.88,11.61,12.75,246561547.0
2025-06-11,13.41,13.48,12.48,12.78,228921165.0
2025-06-12,12.5,13.245,12.02,12.19,186736019.0
2025-06-13,11.785,13.24,11.74,12.65,246138762.0
2025-06-16,13.12,13.18,12.75,12.94,159821796.0
2025-06-17,12.71,12.795,11.82,11.94,143557020.0
2025-06-18,12.005,12.91,11.86,12.37,141163251.0
2025-06-20,12.805,13.135,12.03,12.36,193982029.0
2025-06-23,12.77,15.06,12.76,14.39,362261574.0
2025-06-24,14.925,14.94,13.62,13.62,222724701.0
2025-06-25,13.79,13.8,12.04,12.58,236855439.0
2025-06-26,12.36,12.84,12.3,12.44,136740508.0
2025-06-27,12.33,12.7,11.8,12.27,146968975.0
2025-06-30,11.98,12.4,11.73,11.81,131004988.0
2025-07-01,10.38,10.925,10.0,10.54,251113092.0
2025-07-02,11.38,11.67,10.7601,11.58,194688368.0
2025-07-03,11.74,11.77,11.36,11.53,91041950.0
2025-07-07,9.79,10.14,9.6,9.98,239961285.0
2025-07-08,10.18,10.6599,10.02,10.24,146701252.0
2025-07-09,10.21,10.39,9.94,10.09,119512268.0
2025-07-10,10.39,11.08,10.38,11.04,161544348.0
2025-07-11,10.88,11.33,10.73,11.28,117923345.0
2025-07-14,11.59,11.94,11.23,11.53,113094059.0
2025-07-15,11.73,11.8399,11.06,11.07,121065302.0
2025-07-16,11.215,11.98,11.215,11.84,159228697.0
2025-07-17,11.955,12.04,11.51,11.67,112091897.0
2025-07-18,11.855,12.5,11.825,12.4,142960925.0
2025-07-21,12.78,13.05,12.21,12.33,118440393.0
2025-07-22,12.43,12.84,11.805,12.59,172328440.0
2025-07-23,12.5,12.9,12.34,12.66,173959000.0
2025-07-24,10.93,10.93,10.2,10.54,284183643.0
2025-07-25,10.78,11.8,10.74,11.27,212392689.0
2025-07-28,11.44,12.31,11.26,11.95,186198037.0
2025-07-29,11.97,12.0,11.42,11.64,123076114.0
2025-07-30,11.7,11.87,10.94,11.47,127387590.0
2025-07-31,11.52,11.64,10.54,10.68,163233804.0
2025-08-01,10.54,10.76,9.97,10.32,167921711.0
2025-08-04,10.73,10.94,10.33,10.73,132502034.0
2025-08-05,10.72,10.96,10.48,10.7,96279842.0
