date,open,high,low,close,volume
2024-08-06,37.49,39.54,37.14,38.22,13204698.0
2024-08-07,38.985,39.615,37.415,37.56,8237272.0
2024-08-08,38.06,39.69,37.97,39.51,4698426.0
2024-08-09,39.39,40.05,38.825,39.66,4400458.0
2024-08-12,39.87,39.895,38.87,39.22,3415296.0
2024-08-13,39.585,40.51,39.2855,40.39,4135178.0
2024-08-14,40.385,41.3396,40.31,41.095,4783734.0
2024-08-15,42.515,42.95,42.03,42.88,3182652.0
2024-08-16,42.66,43.4,42.525,43.2,3319996.0
2024-08-19,43.38,44.0,43.3399,43.945,3011058.0
2024-08-20,43.765,43.995,43.485,43.74,3137038.0
2024-08-21,43.965,44.19,43.42,43.865,2992624.0
2024-08-22,44.08,44.335,42.9,43.365,3016612.0
2024-08-23,43.905,44.87,43.67,44.715,4092622.0
2024-08-26,44.95,45.565,44.63,44.99,3467112.0
2024-08-27,44.835,45.075,44.54,45.025,2696636.0
2024-08-28,44.93,45.35,43.645,44.515,3702282.0
2024-08-29,45.475,46.085,44.47,45.325,5624160.0
2024-08-30,45.47,46.12,44.67,46.005,4033186.0
2024-09-03,45.325,45.645,43.4653,44.015,5004956.0
2024-09-04,43.92,44.7446,43.665,44.025,4709150.0
2024-09-05,44.33,44.45,42.6,43.4,4946822.0
2024-09-06,43.525,44.17,41.86,42.065,6035758.0
2024-09-09,42.975,44.075,42.595,43.51,4767430.0
2024-09-10,43.815,43.84,42.19,43.215,5316074.0
2024-09-11,42.855,43.75,40.84,43.53,7370666.0
2024-09-12,43.66,44.4,42.955,44.4,4648496.0
2024-09-13,44.55,45.745,44.48,45.315,5121882.0
2024-09-16,45.78,46.4691,45.53,46.08,2989256.0
2024-09-17,46.375,46.775,45.55,46.03,3754692.0
2024-09-18,46.095,47.25,45.455,45.645,6611454.0
2024-09-19,47.57,47.82,46.695,47.35,3918578.0
2024-09-20,47.075,47.7049,46.765,47.425,3626694.0
2024-09-23,47.63,47.8325,47.24,47.63,2535528.0
2024-09-24,47.795,48.16,47.35,47.97,3767230.0
2024-09-25,47.9,48.075,46.525,46.75,3368870.0
2024-09-26,47.45,47.76,47.125,47.59,3434392.0
2024-09-27,47.88,49.1,47.79,47.965,3298740.0
2024-09-30,47.8,48.095,46.705,48.04,3859712.0
2024-10-01,47.785,48.0388,46.71,47.465,5910042.0
2024-10-02,47.57,47.795,46.815,47.565,3610644.0
2024-10-03,47.05,47.325,46.355,46.905,5203486.0
2024-10-04,47.69,48.095,46.79,48.035,3827232.0
2024-10-07,47.585,47.855,46.265,46.725,4378932.0
2024-10-08,47.01,47.2663,46.42,47.1,3719610.0
2024-10-09,47.125,48.725,46.84,48.53,4574592.0
2024-10-10,48.455,48.5101,47.82,48.35,3827560.0
2024-10-11,48.52,49.805,48.435,49.67,3610662.0
2024-10-14,49.545,50.63,49.175,50.465,2500554.0
2024-10-15,49.89,50.165,49.09,49.27,5692190.0
2024-10-16,49.12,50.46,49.025,50.345,3147984.0
2024-10-17,50.965,51.085,50.49,50.905,3586794.0
2024-10-18,50.895,51.205,50.195,51.005,4117244.0
2024-10-21,50.915,51.125,49.615,49.845,5008178.0
2024-10-22,49.205,50.185,49.05,49.775,4851834.0
2024-10-23,48.99,49.235,47.575,48.335,5966764.0
2024-10-24,48.035,48.15,47.22,47.865,3510484.0
2024-10-25,48.37,48.554,46.685,46.93,4030962.0
2024-10-28,47.7,48.12,47.595,47.855,3778112.0
2024-10-29,47.23,48.165,47.075,47.33,3032750.0
2024-10-30,47.155,48.03,46.95,47.085,3881238.0
2024-10-31,46.205,46.415,45.4601,45.695,3779082.0
2024-11-01,46.295,47.49,46.19,46.53,3746374.0
2024-11-04,46.33,46.485,45.205,45.755,3343262.0
2024-11-05,45.785,47.21,45.61,47.105,3763088.0
2024-11-06,51.23,52.285,50.93,52.11,7429140.0
2024-11-07,52.19,52.44,51.7955,52.13,3810058.0
2024-11-08,52.4,53.595,52.08,53.05,3871758.0
2024-11-11,53.68,54.7593,53.67,54.1,3387876.0
2024-11-12,54.265,54.515,52.625,52.755,4510310.0
2024-11-13,52.925,53.505,52.3851,52.88,3301298.0
2024-11-14,53.145,53.27,51.9,52.095,2858936.0
2024-11-15,51.495,51.735,50.66,51.015,4245602.0
2024-11-18,50.875,51.285,50.54,50.89,2330212.0
2024-11-19,49.675,50.85,49.26,50.435,4860066.0
2024-11-20,50.605,51.095,49.715,50.895,3607076.0
2024-11-21,51.42,53.0576,50.645,52.5,5955356.0
2024-11-22,52.695,54.12,52.59,53.97,4936656.0
2024-11-25,55.21,55.87,54.78,55.535,4064622.0
2024-11-26,55.185,56.205,54.4665,56.03,4678636.0
2024-11-27,56.115,56.6643,55.435,55.55,4238858.0
2024-11-29,55.72,56.835,55.72,56.38,2821716.0
2024-12-02,56.57,56.725,55.57,55.87,4418564.0
2024-12-03,56.015,56.175,55.07,55.535,3033836.0
2024-12-04,56.25,56.89,55.868,56.635,4671358.0
