ticker,fee_rate,available,fetched_at
049323AB4,0.0025,300000,2026-08-06T12:39:11
2391358D,0.0025,100000,2026-08-06T12:39:11
2575343D,0.0025,6700000,2026-08-06T12:39:11
3LI,0.004,500,2026-08-06T12:39:11
3WM,0.167859,300,2026-08-06T12:39:11
4FJ3,0.004,800,2026-08-06T12:39:11
4OS,0.015300000000000001,10000,2026-08-06T12:39:11
6CE,0.057279,1000,2026-08-06T12:39:11
8EC0,0.0103,8,2026-08-06T12:39:11
A,0.002782,3400000,2026-08-06T12:39:11
A4G1,0.004,4000,2026-08-06T12:39:11
AA,0.004081,4500000,2026-08-06T12:39:11
AAA,0.097501,30000,2026-08-06T12:39:11
AAAA,0.943319,90000,2026-08-06T12:39:11
AAAU,0.0042959999999999995,550000,2026-08-06T12:39:11
AABB,0.056919000000000004,10000000,2026-08-06T12:39:11
AABVF,0.019249000000000002,2000,2026-08-06T12:39:11
AAC U,0.276157,400000,2026-08-06T12:39:11
AACAY,0.10298500000000001,200000,2026-08-06T12:39:11
AACB,0.012199999999999999,950000,2026-08-06T12:39:11
AACBU,0.012199999999999999,100,2026-08-06T12:39:11
AACG,0.026965,300000,2026-08-06T12:39:11
AACI,0.012199999999999999,700000,2026-08-06T12:39:11
AACIU,0.012199999999999999,200,2026-08-06T12:39:11
AACO,0.0033239999999999997,350000,2026-08-06T12:39:11
AACOU,0.012199999999999999,300,2026-08-06T12:39:11
AACP,0.311295,400000,2026-08-06T12:39:11
AACPU,0.648147,900,2026-08-06T12:39:11
AACS,0.0025,1800000,2026-08-06T12:39:11
AACTF,0.0025,450000,2026-08-06T12:39:11
AADI.OLD1,0.0025,20000,2026-08-06T12:39:11
AADR,0.049665999999999995,25000,2026-08-06T12:39:11
AADX,0.026632,400000,2026-08-06T12:39:11
AAEQ,0.004665,95000,2026-08-06T12:39:11
AAGAF,0.039061,2900000,2026-08-06T12:39:11
AAGC,0.0025,3300000,2026-08-06T12:39:11
AAGFF,0.029653,4400000,2026-08-06T12:39:11
AAGH.OLD1,0.0025,1000000,2026-08-06T12:39:11
AAGIY,0.002782,400000,2026-08-06T12:39:11
AAGR,0.140147,300000,2026-08-06T12:39:11
AAIR,0.0025,75000,2026-08-06T12:39:11
AAIRF,0.10812799999999999,100000,2026-08-06T12:39:11
AAL,0.002696,10000000,2026-08-06T12:39:11
AALG,0.324995,15000,2026-08-06T12:39:11
AAME,0.043838999999999996,100000,2026-08-06T12:39:11
AAMI,0.0041270000000000005,500000,2026-08-06T12:39:11
AAMMF,0.178704,550000,2026-08-06T12:39:11
AAMTF,0.006353999999999999,15000,2026-08-06T12:39:11
AAMUQ,0.0025,850000,2026-08-06T12:39:11
AAOG,0.178475,1200000,2026-08-06T12:39:11
AAOI,0.0028179999999999998,3300000,2026-08-06T12:39:11
AAON,0.004151,750000,2026-08-06T12:39:11
AAOX,0.136054,800000,2026-08-06T12:39:11
AAOZ,0.175426,100000,2026-08-06T12:39:11
AAP,0.004655,400000,2026-08-06T12:39:11
AAPB,0.071792,70000,2026-08-06T12:39:11
AAPD,0.083512,85000,2026-08-06T12:39:11
AAPE,0.06908500000000001,4000,2026-08-06T12:39:11
AAPG,0.614987,350000,2026-08-06T12:39:11
AAPH,0.0025,3000000,2026-08-06T12:39:11
AAPI,0.0025,4000,2026-08-06T12:39:11
AAPJ,0.0025,10000000,2026-08-06T12:39:11
AAPL,0.0025,10000000,2026-08-06T12:39:11
AAPR,0.012254000000000001,50000,2026-08-06T12:39:11
AAPT,0.0025,7800000,2026-08-06T12:39:11
AAPU,0.054201,100000,2026-08-06T12:39:11
AAPW,0.161202,40000,2026-08-06T12:39:11
AAPX,0.0043809999999999995,10000,2026-08-06T12:39:11
AAPY,0.015337,6000,2026-08-06T12:39:11
AAQL,0.0025,3000,2026-08-06T12:39:11
AARD,0.008994,550000,2026-08-06T12:39:11
AASP,0.00904,15000,2026-08-06T12:39:11
AAST,0.0025,10000,2026-08-06T12:39:11
AAT,0.004178,1000000,2026-08-06T12:39:11
AATC,0.031943,100000,2026-08-06T12:39:11
AATV,0.0025,200000,2026-08-06T12:39:11
AAUA,0.11311,100000,2026-08-06T12:39:11
AAUAF,0.0030259999999999996,2700000,2026-08-06T12:39:11
AAUB,0.01496,250000,2026-08-06T12:39:11
AAUC,0.015246,1800000,2026-08-06T12:39:11
AAUS,0.025785,200000,2026-08-06T12:39:11
AAVM,0.028554,350000,2026-08-06T12:39:11
AAVMY,0.007169999999999999,250000,2026-08-06T12:39:11
AAVVF,0.006586,1100000,2026-08-06T12:39:11
AAWH,0.039759,3500000,2026-08-06T12:39:11
AAXJ,0.003974,350000,2026-08-06T12:39:11
AAXT,0.0025,15000,2026-08-06T12:39:11
AB,0.003528,550000,2026-08-06T12:39:11
ABAT,0.0037719999999999997,1000000,2026-08-06T12:39:11
ABBB,0.0033239999999999997,30000,2026-08-06T12:39:11
ABBNY,0.011407,550000,2026-08-06T12:39:11
ABBRF,0.006106,850000,2026-08-06T12:39:11
ABBV,0.0025,7100000,2026-08-06T12:39:11
ABBY,0.0025,550000,2026-08-06T12:39:11
ABCB,0.002782,1000000,2026-08-06T12:39:11
ABCFF,0.0025,250000,2026-08-06T12:39:11
ABCL,0.045909000000000005,300000,2026-08-06T12:39:11
ABCP,0.002782,1500000,2026-08-06T12:39:11
ABEO,0.004273,6300000,2026-08-06T12:39:11
ABEPF,0.0025,1300000,2026-08-06T12:39:11
ABEQ,0.042474,60000,2026-08-06T12:39:11
ABEV,0.015677,10000000,2026-08-06T12:39:11
ABEW,0.0025,300000,2026-08-06T12:39:11
ABFL,0.010224,10000,2026-08-06T12:39:11
ABG,0.004135,450000,2026-08-06T12:39:11
ABIG,0.203045,200,2026-08-06T12:39:11
ABILF,0.0025,65000,2026-08-06T12:39:11
ABIT,0.0033239999999999997,1700000,2026-08-06T12:39:11
ABKI,0.0025,650000,2026-08-06T12:39:11
ABLE,0.0025,35000,2026-08-06T12:39:11
ABLG,0.08862600000000001,45000,2026-08-06T12:39:11
ABLS,0.148812,1000,2026-08-06T12:39:11
ABLT,0.0025,100,2026-08-06T12:39:11
ABLV,0.172071,1100000,2026-08-06T12:39:11
ABM,0.003947,1000000,2026-08-06T12:39:11
ABMBF,0.024029,1100000,2026-08-06T12:39:11
ABMC,0.0025,800000,2026-08-06T12:39:11
ABMT,0.0025,30000,2026-08-06T12:39:11
ABNAF,0.050766,100000,2026-08-06T12:39:11
ABNB,0.0025,9500000,2026-08-06T12:39:11
ABOS,0.002888,800000,2026-08-06T12:39:11
ABPA,0.0025,250000,2026-08-06T12:39:11
ABPO,0.662581,150000,2026-08-06T12:39:11
ABPR,0.0025,2700000,2026-08-06T12:39:11
ABR,0.013515999999999999,70000,2026-08-06T12:39:11
ABR PRD,0.278143,200000,2026-08-06T12:39:11
ABR PRE,0.061248,100000,2026-08-06T12:39:11
ABR PRF,0.062668,150000,2026-08-06T12:39:11
ABSI,0.0030470000000000002,2800000,2026-08-06T12:39:11
ABSSF,0.03363,15000,2026-08-06T12:39:11
ABSY,0.0025,10000,2026-08-06T12:39:11
ABT,0.0025,10000000,2026-08-06T12:39:11
ABTC,0.022229000000000002,200000,2026-08-06T12:39:11
ABTS,1.7398429999999998,250000,2026-08-06T12:39:11
ABUS,0.006299,10000000,2026-08-06T12:39:11
ABV,0.004,10000000,2026-08-06T12:39:11
ABVC,0.033053,300000,2026-08-06T12:39:11
ABVEF,0.099954,3900000,2026-08-06T12:39:11
ABVG,0.0025,10000000,2026-08-06T12:39:11
ABVN,0.0025,15000,2026-08-06T12:39:11
ABVX,0.0026190000000000002,2800000,2026-08-06T12:39:11
ABWN,0.0025,10000000,2026-08-06T12:39:11
ABX,0.005424,1100000,2026-08-06T12:39:11
ABXB,0.0025,1000,2026-08-06T12:39:11
ABXL,0.113691,55000,2026-08-06T12:39:11
ABXXF,0.040046,150000,2026-08-06T12:39:11
ACA,0.003919000000000001,1000000,2026-08-06T12:39:11
ACAA,0.046082,1700000,2026-08-06T12:39:11
ACAAU,0.051495,200000,2026-08-06T12:39:11
ACAD,0.003305,1700000,2026-08-06T12:39:11
ACAI,0.0025,200000,2026-08-06T12:39:11
ACAN,0.0025,250000,2026-08-06T12:39:11
ACB,0.057991,150000,2026-08-06T12:39:11
ACCA,0.0025,650000,2026-08-06T12:39:11
ACCFF,0.178704,20000,2026-08-06T12:39:11
ACCL,1.236323,200000,2026-08-06T12:39:11
ACCO,0.0028160000000000004,4000000,2026-08-06T12:39:11
ACCR,0.0025,900000,2026-08-06T12:39:11
ACCS,0.12920299999999998,750000,2026-08-06T12:39:11
ACCS.OLD1,0.0025,20000,2026-08-06T12:39:11
ACCYY,0.016314,150000,2026-08-06T12:39:11
ACDBF,0.004135,30000,2026-08-06T12:39:11
ACDC,0.004203,5000000,2026-08-06T12:39:11
ACDU,0.0025,3200000,2026-08-06T12:39:11
ACDVF,0.016329,1500000,2026-08-06T12:39:11
ACDXF,0.003237,5000,2026-08-06T12:39:11
ACEI,0.063069,150000,2026-08-06T12:39:11
ACEL,0.004953,600000,2026-08-06T12:39:11
ACEN,0.0025,150000,2026-08-06T12:39:11
ACEP,0.043376,10000,2026-08-06T12:39:11
ACES,0.08695,100000,2026-08-06T12:39:11
ACET,0.0065049999999999995,300000,2026-08-06T12:39:11
ACFL,0.0025,100,2026-08-06T12:39:11
ACFN,0.0027939999999999996,100000,2026-08-06T12:39:11
ACGBY,0.012713,300000,2026-08-06T12:39:11
ACGC,0.788948,800000,2026-08-06T12:39:11
ACGCU,0.801126,1000,2026-08-06T12:39:11
ACGL,0.004289,4300000,2026-08-06T12:39:11
ACGLN,0.028624,750000,2026-08-06T12:39:11
ACGLO,0.032551000000000004,100000,2026-08-06T12:39:11
ACGN,0.0025,150000,2026-08-06T12:39:11
ACGP,0.011457,10000,2026-08-06T12:39:11
ACGR,0.097501,1000,2026-08-06T12:39:11
ACGX,0.0025,50000,2026-08-06T12:39:11
ACH,0.004122,2300000,2026-08-06T12:39:11
ACHC,0.004135,1300000,2026-08-06T12:39:11
ACHFF,0.181252,20000,2026-08-06T12:39:11
ACHR,0.003965,1400000,2026-08-06T12:39:11
ACHV,0.019296999999999998,2700000,2026-08-06T12:39:11
ACI,0.004135,2100000,2026-08-06T12:39:11
ACIC,0.0050219999999999996,750000,2026-08-06T12:39:11
ACII,0.059182,80000,2026-08-06T12:39:11
ACII.OLD1,0.0025,6000000,2026-08-06T12:39:11
ACIO,0.005489000000000001,500000,2026-08-06T12:39:11
ACIU,0.00849,200000,2026-08-06T12:39:11
ACIW,0.0025,2000000,2026-08-06T12:39:11
ACKAY,0.0025,500,2026-08-06T12:39:11
ACKY,0.07346,65000,2026-08-06T12:39:11
ACLH,0.0025,800000,2026-08-06T12:39:11
ACLLF,0.010622,850000,2026-08-06T12:39:11
ACLLY,0.016314,15000,2026-08-06T12:39:11
ACLO,0.037909,35000,2026-08-06T12:39:11
ACLP,0.0025,10000000,2026-08-06T12:39:11
ACLS,0.0025,600000,2026-08-06T12:39:11
ACM,0.004081,2700000,2026-08-06T12:39:11
ACMB,0.0025,10000,2026-08-06T12:39:11
ACMIF,0.06751299999999999,250000,2026-08-06T12:39:11
ACMM,0.22063500000000003,2000,2026-08-06T12:39:11
ACMR,0.003727,1900000,2026-08-06T12:39:11
ACMT,0.0025,100,2026-08-06T12:39:11
ACMTA,0.0025,800,2026-08-06T12:39:11
ACN,0.004081,3200000,2026-08-06T12:39:11
ACNB,0.004081,35000,2026-08-06T12:39:11
ACNE,0.0025,1000,2026-08-06T12:39:11
ACNI,0.0025,350000,2026-08-06T12:39:11
ACNT,0.007463,350000,2026-08-06T12:39:11
